source,station,year,rain_mm
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2016,2016.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2017,2017.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2018,2018.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2019,2019.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2020,2020.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2021,2021.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2022,2022.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2023,2023.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Name of Stations,2024,2024.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2016,2274.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2017,3817.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2018,2752.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2019,2870.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2020,2799.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2021,3563.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2022,1930.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2023,2522.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chattogram,2024,3524.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2016,3297.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2017,3951.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2018,3634.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2019,2760.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2020,4101.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2021,3485.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2022,2064.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2023,2390.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2024,5084.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2016,3743.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2017,5072.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2018,3930.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2019,2736.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2020,3850.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2021,3221.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2022,2239.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2023,2927.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sandwip,2024,4161.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2016,2753.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2017,4868.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2018,3527.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2019,3340.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2020,3349.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2022,2324.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2023,2704.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sitakunda,2024,3317.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2016,4299.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2017,4178.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2018,3928.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2019,3993.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2022,2628.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2023,2834.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teknaf,2024,2093.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2016,2032.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2017,3819.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2018,2987.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2019,2706.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2020,2187.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2021,2002.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2022,2103.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2023,2410.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2024,2664.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2016,2174.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2017,3179.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2018,1712.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2019,1919.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2020,2276.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2021,2179.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cumilla,2022,1414.0
