source,crop,area,yield_t_per_acre,cost_tk_per_acre,crop_value_tk_per_acre,byproduct_value_tk_per_acre,net_return_tk_per_acre,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Bangladesh,0.84,12755.0,18433.0,4446.0,10124.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Barishal Division,0.84,13263.0,17863.0,4589.0,9189.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Chattogram Division,0.89,10937.0,19498.0,3205.0,11766.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Dhaka Division,0.79,13748.0,16033.0,4857.0,7142.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Khulna Division,0.79,13229.0,16323.0,4766.0,7860.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Mymensingh Division,0.8,14871.0,19136.0,4964.0,9229.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Rajshahi Division,0.86,13984.0,20645.0,6320.0,12981.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Rangpur Division,0.75,13773.0,17529.0,4954.0,8710.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Aus,Sylhet Division,0.81,13287.0,18531.0,3236.0,8480.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Bangladesh,1.1,18155.0,24788.0,4171.0,10804.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Barishal Division,1.08,16434.0,23253.0,5095.0,11914.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Chattogram Division,1.11,16967.0,24453.0,3737.0,11223.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Dhaka Division,1.17,19046.0,24395.0,4298.0,9647.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Khulna Division,1.1,17792.0,22784.0,3303.0,8295.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Mymensingh Division,1.15,18453.0,27696.0,6841.0,16084.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Rajshahi Division,1.11,18082.0,26754.0,4139.0,12811.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Rangpur Division,1.07,18734.0,24326.0,4883.0,10475.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Aus,Sylhet Division,1.09,20901.0,26088.0,3616.0,8803.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Bangladesh,1.59,25921.0,35582.0,5744.0,15405.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Barishal Division,1.57,25831.0,33849.0,6470.0,14488.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Chattogram Division,1.64,23067.0,36949.0,5088.0,18970.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Dhaka Division,1.53,25925.0,31192.0,6066.0,11333.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Khulna Division,1.6,24389.0,32526.0,5823.0,13960.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Mymensingh Division,1.61,25859.0,37638.0,6868.0,18647.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Rajshahi Division,1.55,30206.0,37184.0,6652.0,13630.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Rangpur Division,1.65,25249.0,39578.0,6467.0,20796.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Aus,Sylhet Division,1.59,26097.0,36142.0,4052.0,14097.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Bangladesh,1.88,29775.0,40746.0,6757.0,17728.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Barishal Division,1.74,25525.0,36851.0,6606.0,17932.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Chattogram Division,1.92,23285.0,42333.0,7730.0,26778.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Dhaka Division,1.81,26403.0,42567.0,7155.0,23319.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Khulna Division,1.87,24909.0,45209.0,7500.0,27800.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Mymensingh Division,1.94,24910.0,48438.0,6573.0,30101.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Aus,Rajshahi Division,1.86,20275.0,44685.0,3767.0,28177.0,553
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Bangladesh,0.83,15313.0,19468.0,6139.0,10294.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Barishal Division,0.78,14624.0,17501.0,5850.0,8727.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Chattogram Division,0.84,17039.0,20227.0,8352.0,11540.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Dhaka Division,0.81,14188.0,18120.0,4982.0,8914.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Khulna Division,0.77,13178.0,17186.0,5514.0,9522.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Mymensingh Division,0.78,13118.0,18622.0,5437.0,10941.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Rajshahi Division,0.85,16265.0,21340.0,6681.0,11756.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Rangpur Division,0.74,13847.0,18355.0,5639.0,10147.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Bona Amon,Sylhet Division,0.85,16047.0,21158.0,5227.0,10338.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Bangladesh,1.1,19007.0,24842.0,7644.0,13479.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Barishal Division,1.17,22604.0,28385.0,8780.0,14561.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Chattogram Division,1.1,19347.0,24737.0,6072.0,11462.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Dhaka Division,1.08,18960.0,24121.0,7710.0,12871.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Khulna Division,1.09,22088.0,27302.0,6329.0,11543.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Mymensingh Division,1.17,23279.0,29221.0,7457.0,13399.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Rajshahi Division,1.08,22395.0,26898.0,6996.0,11499.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Local Ropa Amon,Rangpur Division,1.19,20850.0,29668.0,6353.0,15171.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Bangladesh,1.69,29658.0,40514.0,7704.0,18560.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Barishal Division,1.64,29368.0,37716.0,8703.0,17051.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Chattogram Division,1.7,32526.0,39398.0,8548.0,15420.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Dhaka Division,1.74,29242.0,38615.0,7180.0,16553.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Khulna Division,1.7,29498.0,37482.0,8876.0,16860.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Mymensingh Division,1.61,27133.0,39994.0,6787.0,19648.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Rajshahi Division,1.69,33604.0,42223.0,8021.0,16640.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Rangpur Division,1.71,28255.0,42582.0,7208.0,21535.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,HYV Amon,Sylhet Division,1.68,24054.0,41896.0,5908.0,23750.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Bangladesh,2.2,37771.0,51916.0,8945.0,23090.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Barishal Division,2.23,37195.0,49944.0,10061.0,22810.0,554
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Hybrid Amon,Chattogram Division,2.29,33612.0,52766.0,9239.0,28393.0,554
