source,crop,type,sowing,harvest,seed_per_acre
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus paddy,Local Broadcast,Mid-March to Mid-April,Mid July to Early August,28-37 kg in case of broadcasting: 14-19 kg in case of line sowing
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus paddy,HYV Transplant,Mid-March to Mid-April,July to August,11-14 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus paddy,HYV Broadcast,Mid-March to Mid-April,Late July to August,8-9 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman paddy,Local Transplant,End June to Early September,December to early January,9-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman paddy,Local Broadcast,Mid-March to Mid-April,Mid November to Mid- December,33-37 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman paddy,HYV Transplant,Late June to Mid-August,December to early January,8-9 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy,Local,Mid November to Mid- January,April to May,8-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy,HYV,December to Mid-February,Mid-April to June,8-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy,Hybrid,December to Mid-February,Mid-April to June,8-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,,November to December,March to Mid-April,(a) 28-33 kg if sown without irrigation. (b) 33-37 kg if sown with 1-2 times irrigation. (c) 37-47 kg if sown with 4-5times irrigation.
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maize (Rabi),,Mid October to Late December,Early April to End May,7-9 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jowar,,Mid-April to June,Mid-August to Mid-October,7-9 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kaon,,"(a) November to December, in case of low land. Mid- March to Mid-May, in case of hilly land",Mid-March to Mid-June Mid-June to Mid-August,5-6 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cheena,,November to Mid-December,Mid-February to Mid-April,5-6 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barley,,Mid-October to Mid- December,Mid-February to Mid-April,23-28 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Potato,,Mid-September to November,Mid-January to March,4-6 Ql tuber
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sweet Potato,,Mid-September to Mid- December,Mid-February to Mid-April,1200-1400 cuttings
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,White (Capsularis),Early March to Mid-April,July to August,4-5 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jute,Tossa (Olitorius),Mid-April to Early May,August to September,4-5 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sun hemp,Kharif,Mid-March to Mid-June,Mid July to Mid-October,3-4 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sun hemp,Rabi,Mid-September to Mid- November,Mid-February to Mid-April,3-4 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cotton,Kharif,Mid-April to Mid-June,Mid-October to Mid- December,4-5 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cotton,Rabi,Mid-August to Mid-October,Mid-February to Mid-April,7-8 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rape Seed and Mustard,,Mid October to Mid- November,Late January to Mid-February,3-4 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Groundnut,Kharif,Mid-June to Mid-July,Late October to Mid- November,37 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Groundnut,Rabi,Mid November to Late December,Late April to Mid-June,37 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teel,Kharif,Early February to Mid-March,Early May to Mid-June,3-4 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Teel,Rabi,Beginning September to Late October,December,3-4 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Linseed,,Mid October to Mid- December,Mid-March to Mid-May,4-5 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sunflower,,Mid November to Mid December,Late February to Mid March,7 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Arhar (Pigeon pea),,Mid April to Mid June,Mid January to Mid March,6-8 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mashkalai (Black Gram),,Mid August to Mid September,Last three week of November,8-9 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Soyabean,Kharif,Beginning June to Late July,Late September to Mid November,10 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Soyabean,Rabi,Last week of December,Mid April to Early May,10 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barbati,,(a) Mid September to Mid January,Mid December to Mid April,11-14 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barbati,,(b) Mid January to Mid June,,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mung bean,,Mid August to Mid September,Mid November to Mid December,8-10 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Masur (Lentil),,Mid October to Mid November,Early February to Early March,11-14 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kheshari,,Mid October to Mid December,Mid February to Mid April,9-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chickpea (Chola),,Mid October to Late November,Early March to Early April,14-17 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Motor (Field Pea),,Mid October to Late November,Early March to Early April,9-14 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Ginger,,Mid March to Mid May,Mid December to Mid March,8-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Turmeric,,Mid April to Mid June,Mid December to Mid March,8-11 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Onion,,Beginning October to Early December,Late April to Mid June,2-3 kg in case of seeds 2-3 Ql. in case of bulb
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Garlic,,Mid October to Mid December,Mid February to Mid March,0.37 Ql.
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Coriander seed,,October to December,Mid February to Mid March,6-8 kg
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chilies,Kharif,Mid April to Mid July,3-4 months after sowing,1 kg in case of seeds
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chilies,Rabi,Mid November to Mid January,3-4 months after sowing,Seedlings raised from approximately 100 grams seeds
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sugarcane,,Early Mid October to Mid December,Mid October to Mid April,19 Ql cuttings
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sugarcane,,Late Mid January to Mid March,Mid October to Mid April,22 Ql cuttings
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tobacco,,Mid October to Mid December,Mid February to Mid April,23-35 grams
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cauliflower,,Late October to Mid November,Early January to Early March,(a) Seeds: 105-117 gram (b) Seedlings: 8-10 thousand
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cabbage,,Late October to Mid November,Early January to Early March,(a) Seeds: 105-117 gram (b) Seedlings: 6-8 thousand
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Oal Kapi (Knol Khol),,Mid September to third week of December,December to Mid February,(a) Seeds: 220-350 grams (b) Seedlings: 25-30 thousand
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chinese Cabbage,,Mid September to Early November,Late January to Mid March,Seeds: 150 grams
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tomato,,Mid August to Late November,Beginning December to Mid January,(a) Seeds: 50-70 grams (b) Seedlings: 6-8 thousand
