crop,variant,district,year,area_acre,area_ha,yield_t_ha,production_t,note,page
Aus rice,local,Barguna,2023-24,960.0,389.0,1.614,627.0,,69
Aus rice,local,Barguna,2024-25,1375.0,556.0,1.422,791.0,,69
Aus rice,local,Barisal,2023-24,7109.0,2877.0,1.596,4591.0,,69
Aus rice,local,Barisal,2024-25,3424.0,1386.0,1.722,2386.0,,69
Aus rice,local,Bhola,2023-24,7759.0,3140.0,1.614,5068.0,,69
Aus rice,local,Bhola,2024-25,11070.0,4480.0,1.725,7727.0,,69
Aus rice,local,Jhalokati,2023-24,3369.0,1363.0,1.669,2276.0,,69
Aus rice,local,Jhalokati,2024-25,3218.0,1302.0,1.718,2238.0,,69
Aus rice,local,Patuakhali,2023-24,9671.0,3914.0,1.679,6570.0,,69
Aus rice,local,Patuakhali,2024-25,8410.0,3403.0,1.711,5823.0,,69
Aus rice,local,Pirojpur,2023-24,4864.0,1968.0,1.688,3323.0,,69
Aus rice,local,Pirojpur,2024-25,4755.0,1924.0,1.557,2996.0,,69
Aus rice,local,Bandarban,2023-24,20134.0,8148.0,1.598,13024.0,,69
Aus rice,local,Bandarban,2024-25,19272.0,7799.0,1.514,11805.0,,69
Aus rice,local,Brahamanbaria,2023-24,0.0,0.0,0.0,0.0,,69
Aus rice,local,Brahamanbaria,2024-25,0.0,0.0,0.0,0.0,,69
Aus rice,local,Chandpur,2023-24,1465.0,593.0,1.485,880.0,,69
Aus rice,local,Chandpur,2024-25,1258.0,509.0,1.598,813.0,,69
Aus rice,local,Chittagong,2023-24,19716.0,7979.0,1.614,12879.0,,69
Aus rice,local,Chittagong,2024-25,9580.0,3877.0,1.69,6551.0,,69
Aus rice,local,Comilla,2023-24,0.0,0.0,0.0,0.0,,69
Aus rice,local,Comilla,2024-25,0.0,0.0,0.0,0.0,,69
Aus rice,local,Cox's Bazar,2023-24,159.0,64.0,1.451,93.0,,69
Aus rice,local,Cox's Bazar,2024-25,139.0,56.0,1.649,93.0,,69
Aus rice,local,Feni,2023-24,2754.0,1115.0,1.36,1516.0,,69
Aus rice,local,Feni,2024-25,482.0,195.0,1.508,294.0,,69
Aus rice,local,Khagrachhari,2023-24,3606.0,1459.0,1.39,2028.0,,69
Aus rice,local,Khagrachhari,2024-25,3419.0,1384.0,1.61,2227.0,,69
Aus rice,local,Lakshmipur,2023-24,1600.0,648.0,1.595,1033.0,,69
Aus rice,local,Lakshmipur,2024-25,493.0,200.0,1.663,332.0,,69
Aus rice,local,Noakhali,2023-24,11245.0,4551.0,1.291,5876.0,,69
Aus rice,local,Noakhali,2024-25,9226.0,3734.0,1.302,4863.0,,69
Aus rice,local,Rangamati,2023-24,11153.0,4514.0,1.525,6882.0,,69
Aus rice,local,Rangamati,2024-25,10386.0,4203.0,1.501,6308.0,,69
Aus rice,local,Dhaka,2023-24,50.0,20.0,1.301,26.0,,69
Aus rice,local,Dhaka,2024-25,0.0,0.0,0.0,0.0,,69
Aus rice,local,Faridpur,2023-24,7890.0,3193.0,1.218,3891.0,,69
Aus rice,local,Faridpur,2024-25,4239.0,1715.0,1.233,2116.0,,69
Aus rice,local,Gazipur,2023-24,0.0,0.0,0.0,0.0,,69
