crop,variant,district,year,area_acre,area_ha,yield_t_ha,production_t,note,edition
Aman rice,broadcast,Noakhali,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Lakshmipur,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Feni,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Bhola,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Patuakhali,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Barguna,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Dinajpur,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Thakurgaon,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Panchagarh,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Gaibandha,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Kurigram,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Nilphamari,2012-13,0.0,0.0,0.0,0.0,,2013
Aman rice,broadcast,Lalmonirhat,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Chittagong,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Cox's Bazar,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Comilla,2012-13,3110.0,1259.0,8.55,10761.0,,2013
Jute,all,Chandpur,2012-13,10764.0,4356.0,10.477,45639.0,,2013
Jute,all,Brahamanbaria,2012-13,11034.0,4465.0,12.331,55060.0,,2013
Jute,all,Noakhali,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Lakshmipur,2012-13,450.0,182.0,7.932,1445.0,,2013
Jute,all,Feni,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Sylhet,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Maulvibazar,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Sunamganj,2012-13,102.0,41.0,8.328,344.0,,2013
Jute,all,Habiganj,2012-13,260.0,105.0,8.377,881.0,,2013
Jute,all,Dhaka,2012-13,14096.0,5704.0,10.033,57230.0,,2013
Jute,all,Gazipur,2012-13,2752.0,1114.0,9.39,10458.0,,2013
Jute,all,Manikganj,2012-13,13182.0,5334.0,9.094,48510.0,,2013
Jute,all,Munshiganj,2012-13,15860.0,6418.0,8.179,52497.0,,2013
Jute,all,Narayanganj,2012-13,1003.0,406.0,8.377,3400.0,,2013
Jute,all,Narsingdi,2012-13,9018.0,3649.0,10.7,39048.0,,2013
Jute,all,Faridpur,2012-13,156226.0,63221.0,11.046,698330.0,,2013
Jute,all,Rajbari,2012-13,92041.0,37247.0,10.527,392095.0,,2013
Jute,all,Madaripur,2012-13,65089.0,26340.0,10.502,276628.0,,2013
Jute,all,Gopalganj,2012-13,46224.0,18706.0,13.369,250072.0,,2013
Jute,all,Shariatpur,2012-13,45251.0,18312.0,10.527,192769.0,,2013
Jute,all,Jamalpur,2012-13,112236.0,45419.0,10.132,460168.0,,2013
Jute,all,Sherpur,2012-13,17065.0,6906.0,10.082,69625.0,,2013
Jute,all,Kishoreganj,2012-13,15463.0,6258.0,10.552,66027.0,,2013
Jute,all,Netrakona,2012-13,15840.0,6410.0,9.588,61459.0,,2013
Jute,all,Barisal,2012-13,12986.0,5255.0,10.947,57528.0,,2013
Jute,all,Jhalokati,2012-13,236.0,96.0,10.823,1034.0,,2013
Jute,all,Pirojpur,2012-13,1087.0,440.0,9.365,4120.0,,2013
Jute,all,Bhola,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Jessore,2012-13,60920.0,24653.0,11.664,287542.0,,2013
Jute,all,Jhenaidah,2012-13,58170.0,23540.0,11.367,267582.0,,2013
Jute,all,Magura,2012-13,76954.0,31142.0,11.244,350141.0,,2013
Jute,all,Narail,2012-13,57980.0,23463.0,10.725,251633.0,,2013
Jute,all,Khulna,2012-13,4923.0,1992.0,8.402,16738.0,,2013
Jute,all,Bagerhat,2012-13,3026.0,1225.0,11.589,14192.0,,2013
Jute,all,Satkhira,2012-13,25811.0,10445.0,11.194,116924.0,,2013
Jute,all,Kushtia,2012-13,89022.0,36025.0,11.441,412172.0,,2013
Jute,all,Chuadanga,2012-13,47327.0,19152.0,14.431,276390.0,,2013
Jute,all,Meherpur,2012-13,55939.0,22637.0,13.517,305986.0,,2013
Jute,all,Patuakhali,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Barguna,2012-13,0.0,0.0,0.0,0.0,,2013
Jute,all,Bogra,2012-13,37703.0,15258.0,11.219,171172.0,,2013
Jute,all,Joypurhat,2012-13,5988.0,2423.0,12.133,29401.0,,2013
Jute,all,Dinajpur,2012-13,24313.0,9839.0,11.664,114757.0,,2013
Jute,all,Thakurgaon,2012-13,21975.0,8893.0,11.614,103283.0,,2013
Jute,all,Panchagarh,2012-13,23496.0,9508.0,9.613,91399.0,,2013
Jute,all,Pabna,2012-13,84272.0,34103.0,11.688,398607.0,,2013
Jute,all,Sirajganj,2012-13,51512.0,20846.0,10.477,218411.0,,2013
Jute,all,Rajshahi,2012-13,22680.0,9178.0,13.023,119524.0,,2013
Jute,all,Naogaon,2012-13,18574.0,7516.0,14.407,108286.0,,2013
Jute,all,Natore,2012-13,43680.0,17676.0,13.319,235435.0,,2013
Jute,all,Nawabganj,2012-13,287.0,116.0,12.38,1438.0,,2013
Jute,all,Rangpur,2012-13,23340.0,9445.0,12.553,118567.0,,2013
Jute,all,Gaibandha,2012-13,22450.0,9085.0,11.515,104617.0,,2013
Jute,all,Kurigram,2012-13,44410.0,17972.0,10.082,181193.0,,2013
Jute,all,Nilphamari,2012-13,22694.0,9184.0,8.599,78975.0,,2013
Jute,all,Lalmonirhat,2012-13,11794.0,4773.0,13.64,65103.0,,2013
Jute,all,Bandarban,2012-13,1364.0,6769.0,6755.0,1345.0,,2013
Jute,all,Khagrachhari,2012-13,400.0,1885.0,2077.0,379.0,,2013
Jute,all,Rangamati,2012-13,893.0,5200.0,6305.0,1148.0,,2013
Jute,all,Mymensingh,2012-13,201.0,260.0,274.0,209.0,,2013
Jute,all,Tangail,2012-13,708.0,797.0,,,,2013
Potato,local,Barisal,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Jhalokati,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Pirojpur,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Bhola,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Jessore,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Jhenaidah,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Magura,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Narail,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Khulna,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Bagerhat,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Satkhira,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Kushtia,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Chuadanga,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Meherpur,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Patuakhali,2012-13,0.0,0.0,0.0,0.0,,2013
Potato,local,Barguna,2012-13,0.0,0.0,0.0,0.0,,2013
Aus rice,HYV,Sylhet,2012-13,70908.0,28695.0,2.443,70087.0,,2014
Aus rice,HYV,Maulvibazar,2012-13,62220.0,25179.0,2.423,61012.0,,2014
Aus rice,local,Kurigram,2012-13,125.0,51.0,1.053,53.0,,2014
Aus rice,local,Nilphamari,2012-13,0.0,0.0,0.0,0.0,,2014
Aus rice,local,Lalmonirhat,2012-13,0.0,0.0,0.0,0.0,,2014
Aus rice,HYV,Bandarban,2012-13,4877.0,1974.0,2.53,4994.0,,2014
Aus rice,HYV,Chittagong,2012-13,92497.0,37432.0,2.621,98125.0,,2014
Aus rice,HYV,Cox's Bazar,2012-13,5654.0,2288.0,2.479,5673.0,,2014
Aus rice,HYV,Narayanganj,2012-13,374.0,151.0,1.907,289.0,,2014
Aus rice,HYV,Narsingdi,2012-13,636.0,257.0,1.896,488.0,,2014
Aus rice,HYV,Brahamanbaria,2012-13,8332.0,3372.0,1.972,6649.0,,2014
Aus rice,HYV,Khagrachhari,2012-13,4464.0,1806.0,2.099,3792.0,,2014
Aus rice,HYV,Noakhali,2012-13,64502.0,26103.0,2.04,53258.0,,2014
Aus rice,HYV,Lakshmipur,2012-13,40705.0,16472.0,2.295,37803.0,,2014
Aus rice,HYV,Feni,2012-13,19583.0,7925.0,2.592,20541.0,,2014
