crop,variant,table,pdf_pages
Aman rice,HYV,"Table: .3.3 Estimated area, yield and production of High Yielding Varietes (HYV) of Aman crops at, 2023-24 and 2024-25.",83-84
Aman rice,broadcast,"Table 1: Estimates of Broadcast Aman (BONA), 2023-24 to 2024-25.",79-80
Aman rice,hybrid,"Table: .3.4 Estimated area, yield and production of Hybrid Aman rice at 2023-24 and 2024-25.",85-86
Aman rice,total,"Table:3. 5 Estimated area, yield and production of Total Aman (Broadcast+L.T + HYV+Hybrid), 2023-24 and 2024-25.",87-88
Aman rice,transplant,"Table: 3.2 Estimates of Transplant Aman (T.A), 2023-24 to 2024-25.",81-82
Amaranth (Danta),all,Table: 3.9.16 Area and Production of Amaranth (Danta) by District 2022-23 to 2024-25.,322-323
Amaranth Shak (Danta Shak),all,"Table: 3.9.42 Area and Production of Amaranth Shak (Danta Shak) by District, 2022-23 to 2024-25.",379-380
Arhar,all,"Table: 3.2.2 Area and Production of Arhar by District, 2022-23 to 2024-25.",122-123
Ash Gourd (Chalkumra),all,"Table: 3.9.12 Area and Production of Ash Gourd (Chalkumra) by District, 2022-23 to 2024-25.",314-315
Aus rice,HYV,"Table: 3.2 Estimates of Aus (HYV), 2023-24 to 2024-25.",71-72
Aus rice,hybrid,"Table: 3.2 Estimates of Aus (Hybrid), 2023-24 to 2024-25.",73-74
Aus rice,local,"Table: 3.1 Estimates of Aus (Local), 2023-24 To 2024-25.",69-70
Aus rice,total,"Table: 3. 3 Estimates of Aus (TOTAL=LOCAL + HYV+Hybrid), 2023-24 To 2024-25.",75-76
Beans,all,"Table: 3.9.26 Area and Production of Beans by District, 2022-23 to 2024-25.",347-348
Beet,all,Table: 3.9.33 Area and Production of Beet by District 2022-23 to 2024-25.,361-362
Bengal Spinach (Palong Shak),all,"Table: 3.9.27 Area and Production of Bengal Spinach (Palong Shak) by District, 2022-23 to 2024-25.",349-350
Bh.Jower & Bazra,all,"Table: 3.1.2.3 Area and Production of Bh.Jower & Bazra by District, 2022-23 to 2024-25.",107-108
Bhadoi Fodder,all,"Table: 3.11.1 Area and Production of Bhadoi Fodder by District, 2022-23 to 2024-25.",400-401
Binnidana,all,"Table: 3.1.2.8 Area and Production of Binnidana by District, 2022-23 to 2024-25.",117-118
Bitter Gourd (Karalla),all,"Table: 3.9.6 Area and Production of Bitter Gourd (Karalla) by District, 2022-23 to 2024-25.",310-311
Black cumin,all,"Table: 3.4.11 Area and Production of Black cumin by District, 2022-23 to 2024-25.",178-179
Black gram (Mashkalai),all,"Table: 3.2.6 Area and Production of Black gram (Mashkalai) by District, 2022-23 to 2024-25.",130-131
Blackberries,all,"Table: 3.8.17 Area and Production of Blackberries by District, 2022-23 to 2024-25.",261-261
Boro rice,HYV,"Table: 2 Estimated area, yield and production High Yielding variety (HYV) of Boro rice at FY 2023-24 and FY 2024-25.",93-94
Boro rice,hybrid,"Table: 3 Estimates of Hybrid Boro, 2023-24 to 2024-25.",95-96
Boro rice,local,"Table: 1 Estimated area, yield and production of Local Boro rice at FY 2023-24 and FY 2024-25.",91-92
Boro rice,total,"Table: 4 Estimates of Total Boro (Local+HYV+Hybrid), 2023-24 to 2024-25.",97-98
Cabbage,all,Table: 3.9.21 Area and Production of Cabbage by District 2022-23 to 2024-25.,337-338
Capsicum,all,"Table: 3.4.10 Area and Production of Capsicum by District, 2022-23 to 2024-25.",176-177
Carrot,all,"Table: 3.9.29 Area and Production of Carrot by District, 2022-23 to 2024-25.",353-354
Cauliflower,all,"Table: 3.9.21 Area and Production of Cauliflower by District, 2022-23 to 2024-25.",335-336
Cheena & Kaon,all,"Table: 3.1.2.6 Area and Production of Cheena & Kaon by District, 2022-23 to 2024-25.",115-116
Chrysanthemum Flower,all,"Table: 3.12.7 Area and Production of Chrysanthemum Flower by District, 2022-23 to 2024-25.",419-420
Colocacia (Kachur Lati),all,"Table: 3.9.36 Area and Production of Colocacia (Kachur Lati) by District, 2022-23 to 2024-25.",367-368
Coriander seed,all,Table: 3.4.7 Area and Production of Coriander seed by District 2022-23 to 2024-25.,170-171
Cotton (Rabi & Kharif),all,Table: 3.6.3 Area and Production of Cotton (Rabi & Kharif) by District 2022-23 to 2024-25.,207-208
Cucumber,all,Table: 3.9.13 Area and Production of Cucumber by District 2022-23 to 2024-25.,316-317
Dalia Flower,all,"Table: 3.12.8 Area and Production of Dalia Flower by District, 2022-23 to 2024-25.",421-422
Fallon,all,"Table: 3.2.8 Area and Production of Fallon by District, 2022-23 to 2024-25.",134-135
Gari Kalai,all,"Table: 3.2.9 Area and Production of Gari Kalai by District, 2022-23 to 2024-25.",136-137
Garlic,all,"Table: 3.4.4 Area and Production of Garlic by District, 2022-23 to 2024-25.",164-165
Ginger,all,"Table: 3.4.6 Area and Production of Ginger by District, 2022-23 to 2024-25.",168-169
Gladiolas Flower,all,"Table: 3.12.5 Area and Production of Gladiolas Flower by District, 2022-23 to 2024-25.",415-416
Gourd/Water Gourd by Distritct,all,"Table: 3.9.22 Area and Production of Gourd/Water Gourd by Distritct, 2022-23 to 2024-25.",339-340
Gram,all,"Table: 3.2.1 Area and Production of Gram by District, 2022-23 to 2024-25.",120-121
Green Banana,all,"Table: 3.9.41 Area and Production of Green Banana by District, 2022-23 to 2024-25.",377-378
Green gram (Mug),all,"Table: 3.2.5 Area and Production of Green gram (Mug) by District, 2022-23 to 2024-25..",128-129
Groundnut (Kharif),all,"Table: 3.3.4 Area and Production of Groundnut (Kharif) by District, 2022-23 to 2024-25.",145-146
Groundnut (Rabi & kharif),all,"Table: 3.3.5 Area and Production of Groundnut (Rabi & kharif) by District, 2022-23 to 2024-25.",147-148
Groundnut (Winter),all,"Table: 3.3.3 Area and Production of Groundnut (Winter) by District, 2022-23 to 2024-25.",143-144
Indian Spinach (Puishak),all,Table: 3.9.14 Area and Production of Indian Spinach (Puishak) by District 2022-23 to 2024-25.,318-319
Jab,all,Table: 3.1.2.1 Area and Production of Jab by District 2022-23 to 2024-25.,103-104
Joyan,all,"Table: 3.4.14 Area and Production of Joyan by District, 2022-23 to 2024-25.",184-185
Jute,all,"Table: Estimates of Jute, 2023-24 to 2024-25",200-201
Kachu Shak,all,"Table: 3.9.37 Area and Production of Kachu Shak by District, 2022-23 to 2024-25.",369-370
Kakrol,all,Table: 3.9.17 Area and Production of Kakrol by District 2022-23 to 2024-25.,324-325
Kharif Brinjal,all,"Table: 3.9.2 Area and Production of Kharif Brinjal by District, 2022-23 to 2024-25.",302-303
Kharif Chili,all,"Table: 3.4.1 Area and Production of Kharif Chili by District, 2022-23 to 2024-25.",158-159
Kharif Cotton (Cumilla),all,"Table: 3.6.1 Area and Production of Kharif Cotton (Cumilla) by District, 2022-23 to 2024-25.",203-204
Kharif Maize,all,"Table: 3.1.2.3. Area and Production of Kharif Maize by District, 2022-23 to 2024-25.",109-110
Kharif Pumpkin,all,Table: 3.9.1 Area and Production of Kharif Pumpkin by District 2022-23 to 2024-25.,300-301
Kheshari,all,"Table: 3.2.7 Area and Production of Kheshari by District, 2022-23 to 2024-25.",132-133
Khirai,all,"Table: 3.9.11 Area and Production of Khirai by District, 2022-23 to 2024-25.",312-313
Kolmi Shak,all,"Table: 3.9.43 Area and Production of Kolmi Shak by District, 2022-23 to 2024-25.",381-382
Lady's Finger by Distric,all,Table: 3.9.4 Area and Production of Lady's Finger by Distric 2022-23 to 2024-25.,306-307
Laushak,all,"Table: 3.9.30 Area and Production of Laushak by District, 2022-23 to 2024-25.",355-356
Lentil (Masur),all,"Table: 3.2.3 Area and Production of Lentil (Masur) by District, 2022-23 to 2024-25.",124-125
Linseed,all,"Table: 3.3.6 Area and Production of Linseed by District, 2022-23 to 2024-25.",149-150
Long bean (Barbati),all,Table: 3.9.39 Area and Production of Long bean (Barbati) by District 2022-23 to 2024-25.,373-374
Maan Kachu,all,"Table: 3.9.34 Area and Production of Maan Kachu by District, 2022-23 to 2024-25.",363-364
Maize (Rabi & Kharif),all,"Table: 3.1.2.5 Area and Production of Maize (Rabi & Kharif) by District, 2022-23 to 2024-25.",113-114
Marry Gold Flower,all,"Table:3.12.1 Area and Production of Marry Gold Flower by District, 2022-23 to 2024-25.",407-408
Melon (Banggi),all,"Table: 3.8.14 Area and Production of Melon (Banggi) by District, 2022-23. to 2024-25.",255-256
Methi (Fenugreek Plant),all,"Table: 3.4.12 Area and Production of Methi (Fenugreek Plant) by District, 2022-23 to 2024-25.",180-181
Mint,all,"Table: 3.4.13 Area and Production of Mint by District, 2022-23 to 2024-25.",182-183
Mukhi Kachu,all,Table: 3.9.44 Area and Production of Mukhi Kachu by District 2022-23 to 2024-25.,385-386
Mulberry,all,"Table: 3.11.3 Area and Production of Mulberry by District, 2022-23 to 2024-25.",404-404
Mura Kachu,all,Table: 3.9.35 Area and Production of Mura Kachu by District 2022-23 to 2024-25.,365-366
Oal Kachu,all,Table: 3.9.43 Area and Production of Oal Kachu by District 2022-23 to 2024-25.,383-384
Onion,all,"Table: 3.4.3 Area and Production of Onion by District, 2022-23 to 2024-25.",162-163
Palmyra Palm (Juice),all,"Table: 3.5.6 Area and Production of Palmyra Palm (Juice) by District, 2022-23 to 2024-25",197-197
Pani Kachu,all,"Table: 3.9.45 Area and Production of Pani Kachu by District, 2022-23 to 2024-25.",387-388
