source,event,crop,crop_group,district,area_under_crop_acre,fully_damaged_acre,partially_damaged_acre,pct_partial_damage,total_damaged_acre,yield_kg_per_acre,production_loss_t,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Local Aus,Aus rice,Rangamati,,989.0,1356.0,18.0,1233.0,15.3,704.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Local Aus,Aus rice,Sylhet,,344.0,655.0,35.0,574.0,16.2,347.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Local Aus,Aus rice,Sirajganj,,132.0,,,132.0,13.2,65.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Local Aus,Aus rice,Bangladesh,,1465.0,2011.0,24.0,1939.0,15.42,1116.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Noakhali,,1434.0,1550.0,3.0,1486.0,23.63,1311.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Rangamati,,187.0,392.0,26.0,289.0,22.3,241.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Maulvibazar,,1257.0,2053.0,40.0,2078.0,30.3,2350.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Sylhet,,2391.0,4518.0,38.0,4108.0,28.0,4294.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Sirajganj,,178.0,609.0,44.0,446.0,26.79,446.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Rajshahi,,24811.0,2382.0,63.0,26318.0,29.2,28686.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Naogaon,,17152.0,7170.0,30.0,19303.0,29.39,21176.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Nawabganj,,257.0,9729.0,45.0,4635.0,28.1,4862.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aus,Aus rice,Bangladesh,,47667.0,28403.0,39.0,58663.0,28.94,63366.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Noakhali,,1434.0,1550.0,3.0,1486.0,23.63,1311.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Rangamati,,1176.0,1748.0,20.0,1522.0,16.63,945.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Maulvibazar,,1257.0,2053.0,40.0,2078.0,30.3,2350.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Sylhet,,2735.0,5173.0,38.0,4682.0,26.55,4641.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Sirajganj,,310.0,609.0,44.0,578.0,23.68,511.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Rajshahi,,24811.0,2382.0,63.0,26318.0,29.2,28686.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Naogaon,,17152.0,7170.0,30.0,19303.0,29.39,21176.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Nawabganj,,257.0,9729.0,45.0,4635.0,28.1,4862.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Total Aus (Local+HYV,Aus rice,Bangladesh,,49132.0,30414.0,38.0,60602.0,28.5,64482.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Broadcast (Aman),Aman rice,Sirajganj,,3022.0,9817.0,36.0,6556.0,13.6,3328.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,Broadcast (Aman),Aman rice,Bangladesh,,3022.0,9817.0,36.0,6556.0,13.6,3328.0,431
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood & Excessive rain in the months of July& August 2017-18,HYV Aman,Aman rice,Jamalpur,,67516.0,41795.0,45.0,86324.0,28.9,93123.0,431
