source,item,2021-22,2022-23,2023-24,2024-25,unit,page,note
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman Paddy (Coarse),2628.0,2400.0,2876.0,3044.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman Paddy (Medium),2842.0,2639.0,3049.0,3289.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aman Paddy (Saru),3081.0,3012.0,3492.0,3769.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus Paddy (Coarse),,,,2728.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus Paddy (Medium),,,,2441.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Aus Paddy Saru,,,,3420.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy (Coarse),2356.0,2463.0,2787.0,3051.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy (Medium),2559.0,2792.0,3130.0,3312.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Boro Paddy (Saru),2703.0,3031.0,3568.0,3812.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Wheat,2570.0,2892.0,4545.0,3658.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Black Gram (Mashkalai),7725.0,1761.0,8918.0,11857.0,Tk per quintal (100 kg); fruit per 100 pieces,653,"2022-23 value 1761 looks like a typo in the book (neighbours ~7,700-8,900)"
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Lentil (Masur),7197.0,6910.0,8809.0,9078.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Green Gram (Mug),7611.0,7644.0,7660.0,11135.0,Tk per quintal (100 kg); fruit per 100 pieces,653,
