source,district,all_holdings,non_farm_holdings,farm_holdings,small_farms,medium_farms,large_farms,owner,owner_cum_tenant,tenant,agri_labour_holdings,fisheries_holdings,note,page,small_farm_share,tenancy_share
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barguna,228841,70366,158475,143538,13953,984,173466,41284,6183,60555,23659,,550,0.906,0.215
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barisal,547204,219808,327396,310010,16751,635,431984,74317,10744,125952,37921,,550,0.947,0.165
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,396230,149883,246347,232537,12732,1078,300143,72722,13366,126039,67693,,550,0.944,0.223
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jhalokati,149062,45844,103218,94274,8667,277,119509,23978,1236,29114,5308,,550,0.913,0.174
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,380078,119552,260526,234241,24083,2202,305881,55994,6316,90371,33447,,550,0.899,0.169
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Pirojpur,276730,88014,188716,175108,12210,1398,229449,37789,2521,71410,19377,,550,0.928,0.149
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bandarban,86656,27023,59633,33131,20166,6336,69719,10920,4383,33090,6775,,550,0.556,0.18
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Brahamanbaria,621949,319758,302191,283374,18158,659,476579,109076,11128,126479,3256,,550,0.938,0.201
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,563818,303271,260547,249273,11039,235,459006,81733,7539,114426,24395,,550,0.957,0.163
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chittagong,1689478,1217435,472043,459283,11556,1204,1278548,159462,25771,181514,49329,,550,0.973,0.127
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Comilla,1162196,610041,552155,528292,23344,519,890787,198813,25054,225302,31168,,550,0.957,0.201
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,490333,290558,199775,192249,6776,750,375025,81008,18115,145940,51050,,550,0.962,0.209
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,322772,181208,141564,135317,6059,188,269884,38678,8176,32345,5468,,550,0.956,0.148
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khagrachhari,144940,31211,113729,84488,25682,3559,108369,26976,8846,52443,3077,,550,0.743,0.248
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Lakshmipur,396783,186132,210651,200381,9909,361,319890,50595,18571,81038,20894,,550,0.951,0.178
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Noakhali,655040,293071,361969,340609,19852,1508,550362,80743,9472,149737,33459,,550,0.941,0.141
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,130270,33730,96540,56728,33932,5880,107799,12756,5662,40104,10550,,550,0.588,0.146
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,3340396,2978114,362282,350478,10463,1341,2063560,69467,60980,94932,15682,,550,0.967,0.059
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,467945,226917,241028,218856,21188,984,337238,99267,8963,148323,12582,,550,0.908,0.243
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gazipur,1069287,725965,343322,334892,7668,762,796255,54911,33270,65907,11699,,550,0.975,0.1
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalganj,272123,103234,168889,151206,17050,633,196148,58548,6902,96181,16311,,550,0.895,0.25
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kishoreganj,670819,345168,325651,291740,31058,2853,506688,119932,18978,170014,45006,,550,0.896,0.215
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Madaripur,276062,130360,145702,135683,9659,360,217141,44895,7342,61914,6000,,550,0.931,0.194
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Manikganj,352493,165481,187012,175148,11274,590,254978,76235,12325,66295,8058,,550,0.937,0.258
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Munshiganj,342245,247533,94712,81604,12386,722,265323,39623,13611,44647,12399,,550,0.862,0.167
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narayanganj,761585,626887,134698,133026,1503,169,534879,37847,12234,38412,15218,,550,0.988,0.086
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narsingdi,527035,290471,236564,227761,8468,335,423920,70908,4350,45550,10431,,550,0.963,0.151
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajbari,260420,109827,150593,142290,7821,482,183269,59383,11886,90996,7131,,550,0.945,0.28
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Shariatpur,268725,111954,156771,148072,8372,327,196888,48675,20122,77197,16440,,550,0.945,0.259
