source,district,total_area_000acre,net_cropped_000acre_2021_22,net_cropped_000acre_2022_23,gross_cropped_000acre_2021_22,gross_cropped_000acre_2022_23,intensity_pct_2022_23,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bandarban,1107.0,80.0,78.0,130.0,128.0,164,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khagrachhari,679.0,83.0,82.0,173.0,170.0,207,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,1511.0,81.0,80.0,132.0,131.0,164,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chittagong,1305.0,423.0,423.0,866.0,866.0,205,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,616.0,234.0,234.0,434.0,434.0,185,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Comilla,777.0,510.0,509.0,1004.0,1002.0,197,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,407.0,230.0,229.0,359.0,358.0,156,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Brahamanbaria,465.0,311.0,310.0,526.0,527.0,170,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Noakhali,911.0,337.0,337.0,711.0,711.0,211,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Lakshmipur,356.0,237.0,236.0,521.0,521.0,221,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,245.0,133.0,133.0,289.0,289.0,217,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,853.0,487.0,486.0,775.0,774.0,159,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maulvibazar,692.0,389.0,387.0,637.0,635.0,164,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sunamganj,926.0,544.0,544.0,813.0,813.0,149,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Habiganj,651.0,377.0,376.0,705.0,703.0,187,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,362.0,154.0,153.0,234.0,231.0,151,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gazipur,446.0,201.0,201.0,330.0,330.0,164,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Manikganj,342.0,173.0,172.0,368.0,367.0,213,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Munshiganj,248.0,125.0,124.0,231.0,230.0,185,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narayanganj,169.0,70.0,70.0,118.0,118.0,169,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narsingdi,284.0,140.0,140.0,275.0,275.0,196,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,507.0,360.0,359.0,774.0,771.0,215,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajbari,270.0,221.0,221.0,471.0,471.0,213,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Madaripur,278.0,185.0,184.0,345.0,344.0,187,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalganj,363.0,231.0,230.0,451.0,451.0,196,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Shariatpur,290.0,168.0,168.0,305.0,305.0,182,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Tangail,844.0,477.0,476.0,910.0,909.0,191,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kishoreganj,664.0,443.0,441.0,740.0,736.0,167,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Mymensingh,1086.0,724.0,724.0,1492.0,1492.0,206,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jamalpur,523.0,380.0,379.0,809.0,808.0,213,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sherpur,337.0,240.0,239.0,502.0,501.0,210,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Netrakona,690.0,440.0,440.0,805.0,805.0,183,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barisal,688.0,461.0,460.0,684.0,684.0,149,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jhalokati,175.0,124.0,125.0,248.0,249.0,199,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Pirojpur,316.0,197.0,196.0,308.0,307.0,157,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bhola,841.0,411.0,408.0,863.0,857.0,210,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Patuakhali,796.0,397.0,395.0,556.0,554.0,140,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Barguna,453.0,248.0,246.0,365.0,363.0,148,458
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jessore,644.0,409.0,409.0,939.0,939.0,230,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Jhenaidah,486.0,351.0,350.0,792.0,791.0,226,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Magura,257.0,168.0,167.0,400.0,399.0,239,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narail,239.0,157.0,154.0,365.0,362.0,235,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khulna,1086.0,298.0,297.0,440.0,439.0,148,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bagerhat,978.0,265.0,268.0,388.0,397.0,148,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Satkhira,943.0,352.0,350.0,519.0,517.0,148,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kushtia,398.0,280.0,280.0,680.0,680.0,243,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chuadanga,290.0,196.0,195.0,517.0,516.0,265,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Meherpur,186.0,124.0,125.0,346.0,348.0,278,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajshahi,599.0,472.0,471.0,973.0,972.0,206,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Naogaon,849.0,627.0,626.0,1268.0,1267.0,202,459
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Natore,470.0,355.0,355.0,725.0,725.0,204,459
