source,district,year,aman,boro,wheat,sugarcane,cotton,potato,vegetables,other,total,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bandarban,2021-22,0.0,15.0,0.0,,1.0,2.0,2.0,1.0,21.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Khagrachhari,2021-22,11.0,27.0,0.0,,2.0,2.0,12.0,8.0,62.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rangamati,2021-22,,18.0,0.0,3.0,0.0,1.0,9.0,3.0,34.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chittagong,2021-22,7.0,156.0,,2.0,,10.0,70.0,25.0,270.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Cox's Bazar,2021-22,6.0,129.0,0.0,0.0,0.0,4.0,15.0,3.0,157.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Comilla,2021-22,12.0,371.0,2.0,1.0,0.0,16.0,21.0,10.0,433.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Chandpur,2021-22,,154.0,,1.0,0.0,23.0,12.0,2.0,192.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Brahamanbaria,2021-22,21.0,274.0,,,0.0,3.0,11.0,2.0,311.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Noakhali,2021-22,,173.0,0.0,,0.0,,6.0,2.0,181.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Lakshmipur,2021-22,0.0,81.0,,,0.0,,16.0,2.0,99.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Feni,2021-22,0.0,73.0,,,0.0,,11.0,2.0,86.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sylhet,2021-22,49.0,170.0,1.0,0.0,0.0,0.0,21.0,9.0,250.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Maulvibazar,2021-22,,115.0,,0.0,0.0,4.0,6.0,1.0,126.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Sunamganj,2021-22,17.0,440.0,1.0,,0.0,3.0,23.0,5.0,489.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Habiganj,2021-22,39.0,302.0,,0.0,0.0,4.0,9.0,3.0,357.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dhaka,2021-22,34.0,104.0,,0.0,0.0,2.0,10.0,,150.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gazipur,2021-22,22.0,142.0,,,,1.0,9.0,7.0,181.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Manikganj,2021-22,20.0,117.0,,,0.0,3.0,6.0,37.0,183.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Munshiganj,2021-22,0.0,59.0,0.0,,0.0,74.0,8.0,9.0,150.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narayanganj,2021-22,10.0,48.0,,,0.0,6.0,14.0,2.0,80.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Narsingdi,2021-22,19.0,134.0,,,0.0,,29.0,2.0,184.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Faridpur,2021-22,97.0,57.0,45.0,5.0,0.0,1.0,15.0,77.0,297.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Rajbari,2021-22,108.0,32.0,28.0,3.0,,,14.0,30.0,215.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Madaripur,2021-22,16.0,80.0,11.0,,0.0,2.0,11.0,31.0,151.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Gopalganj,2021-22,12.0,190.0,15.0,,0.0,1.0,5.0,5.0,228.0,542
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Shariatpur,2021-22,11.0,65.0,7.0,,0.0,3.0,10.0,4.0,100.0,542
