source,area,animal,holding_class,all_holdings,holdings_keeping,head,pct_of_holdings_keeping,head_per_keeping_holding,note
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,all,35552296.0,12474593.0,29452179.0,35.09,2.36,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,no_operated_land,2929564.0,150865.0,282805.0,5.15,1.87,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,no_cultivated_land,13669425.0,2752742.0,5213757.0,20.14,1.89,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,cultivated_0.01-0.04ac,2071550.0,458322.0,895898.0,22.12,1.95,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,small_0.05-2.49ac,15481350.0,8165923.0,19574858.0,52.75,2.4,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,medium_2.50-7.49ac,1299410.0,884703.0,3181730.0,68.08,3.6,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,large_7.50ac+,100997.0,62038.0,303131.0,61.43,4.89,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,cow,farm_total,16881757.0,9112664.0,23059719.0,53.98,2.53,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,all,35552296.0,182343.0,636926.0,0.51,3.49,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,no_operated_land,2929564.0,1966.0,5176.0,0.07,2.63,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,no_cultivated_land,13669425.0,48658.0,144132.0,0.36,2.96,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,cultivated_0.01-0.04ac,2071550.0,6356.0,17856.0,0.31,2.81,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,small_0.05-2.49ac,15481350.0,101718.0,367945.0,0.66,3.62,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,medium_2.50-7.49ac,1299410.0,20627.0,80847.0,1.59,3.92,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,large_7.50ac+,100997.0,3018.0,20970.0,2.99,6.95,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,buffalo,farm_total,16881757.0,125363.0,469762.0,0.74,3.75,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,all,35552296.0,7348865.0,19444136.0,20.67,2.65,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,no_operated_land,2929564.0,113583.0,264246.0,3.88,2.33,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,no_cultivated_land,13669425.0,1952298.0,4675076.0,14.28,2.39,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,cultivated_0.01-0.04ac,2071550.0,293122.0,716046.0,14.15,2.44,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,small_0.05-2.49ac,15481350.0,4502651.0,12104633.0,29.08,2.69,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,medium_2.50-7.49ac,1299410.0,455227.0,1544216.0,35.03,3.39,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,large_7.50ac+,100997.0,31984.0,139919.0,31.67,4.37,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,goat,farm_total,16881757.0,4989862.0,13788768.0,29.56,2.76,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,all,35552296.0,270724.0,952173.0,0.76,3.52,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,no_operated_land,2929564.0,3827.0,12533.0,0.13,3.27,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,no_cultivated_land,13669425.0,68512.0,216864.0,0.5,3.17,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,cultivated_0.01-0.04ac,2071550.0,10355.0,32475.0,0.5,3.14,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,small_0.05-2.49ac,15481350.0,164096.0,572900.0,1.06,3.49,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,medium_2.50-7.49ac,1299410.0,21787.0,99673.0,1.68,4.57,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Bangladesh,sheep,large_7.50ac+,100997.0,2147.0,17728.0,2.13,8.26,
