source,month,district,one_meal_m,one_meal_f,two_meals_m,two_meals_f,three_meals_m,three_meals_f,no_food_m,no_food_f
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Bandarban,650.0,475.0,600.0,450.0,550.0,400.0,657,471.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Khagrachhari,450.0,300.0,,,,,494,404.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Rangamati,429.0,313.0,313.0,300.0,,,544,380.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Chittagong,681.0,450.0,576.0,430.0,525.0,350.0,727,475.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Cox's Bazar,769.0,400.0,704.0,365.0,713.0,,821,475.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Comilla,579.0,357.0,494.0,350.0,414.0,317.0,665,417.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Chandpur,,,,,,,600,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Brahamanbaria,533.0,433.0,500.0,400.0,450.0,350.0,583,510.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Noakhali,633.0,,600.0,,525.0,,713,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Lakshmipur,,,,,,,460,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Feni,650.0,,,,,,700,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Sylhet,464.0,350.0,414.0,,375.0,,505,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Maulvibazar,471.0,396.0,450.0,350.0,,,515,421.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Sunamganj,475.0,359.0,,,,,522,401.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Habiganj,483.0,375.0,,,,,481,420.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Dhaka,559.0,450.0,572.0,400.0,585.0,350.0,566,550.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Gazipur,638.0,500.0,,,531.0,405.0,710,555.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Manikganj,550.0,500.0,525.0,450.0,471.0,400.0,613,525.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Munshiganj,600.0,,,,541.0,,600,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Narayanganj,,,,,,,472,433.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Narsingdi,,,560.0,447.0,552.0,,574,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Faridpur,559.0,,,,500.0,,599,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Rajbari,538.0,,483.0,,,,580,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Madaripur,450.0,400.0,,,500.0,,514,414.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Gopalganj,450.0,,,,400.0,350.0,513,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Shariatpur,625.0,363.0,,,600.0,,683,420.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Tangail,610.0,440.0,554.0,390.0,512.0,340.0,645,495.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Kishoreganj,473.0,,531.0,,575.0,,572,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Mymensingh,555.0,400.0,519.0,442.0,472.0,350.0,595,412.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Jamalpur,510.0,,480.0,,465.0,,575,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Sherpur,536.0,350.0,506.0,300.0,500.0,,570,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Netrakona,568.0,405.0,549.0,400.0,520.0,360.0,614,412.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Barisal,579.0,,600.0,,,,607,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Jhalokati,597.0,,,,,,675,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Pirojpur,595.0,,584.0,,,,664,450.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Bhola,554.0,,523.0,,,,652,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Patuakhali,605.0,,554.0,,,,654,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Barguna,595.0,450.0,560.0,,,,650,500.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Jessore,,,,,,,439,302.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Jhenaidah,425.0,309.0,447.0,325.0,431.0,,454,332.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Magura,499.0,,472.0,,377.0,,527,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Narail,408.0,230.0,,,,,452,266.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Khulna,560.0,420.0,585.0,400.0,634.0,300.0,591,397.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Bagerhat,600.0,,595.0,,500.0,,574,367.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Satkhira,,,,,,,462,320.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Kushtia,508.0,,,,,,519,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Chuadanga,366.0,,,,,,412,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Meherpur,417.0,,,,,,467,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Rajshahi,503.0,418.0,497.0,392.0,,,536,434.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Naogaon,462.0,372.0,,,,,507,410.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Natore,398.0,308.0,450.0,350.0,,,455,336.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Nawabganj,,,450.0,,,,480,350.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Bogra,460.0,,443.0,,400.0,,504,300.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Joypurhat,669.0,344.0,622.0,328.0,581.0,,695,372.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Pabna,650.0,,,,,,597,350.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Sirajganj,,,550.0,,,,485,313.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Rangpur,460.0,333.0,,,,,485,352.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Gaibandha,,,,,,,400,300.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Kurigram,378.0,250.0,,,,,429,275.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Nilphamari,477.0,293.0,,,,,498,313.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Lalmonirhat,460.0,290.0,420.0,280.0,,,500,320.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Dinajpur,453.0,356.0,,,,,491,392.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Thakurgaon,400.0,300.0,,,,,450,340.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-01,Panchagarh,454.0,330.0,,,,,484,360.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Bandarban,633.0,433.0,583.0,375.0,533.0,325.0,664,479.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Khagrachhari,450.0,300.0,,,,,494,404.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Rangamati,369.0,281.0,313.0,231.0,,,539,369.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Chittagong,630.0,410.0,586.0,380.0,529.0,325.0,712,450.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Cox's Bazar,769.0,400.0,704.0,365.0,713.0,,821,475.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Comilla,552.0,350.0,543.0,400.0,457.0,300.0,603,402.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Chandpur,,,,,,,600,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Brahamanbaria,492.0,417.0,450.0,350.0,400.0,,558,488.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Noakhali,633.0,,600.0,,525.0,,712,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Lakshmipur,,,,,,,460,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Feni,650.0,,,,,,700,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Sylhet,464.0,350.0,414.0,,375.0,,505,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Maulvibazar,471.0,396.0,400.0,376.0,,,506,409.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Sunamganj,474.0,361.0,,,,,521,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Habiganj,488.0,375.0,,,,,499,450.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Dhaka,537.0,450.0,553.0,400.0,565.0,350.0,631,550.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Gazipur,638.0,500.0,,,519.0,431.0,700,545.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Manikganj,550.0,450.0,531.0,400.0,502.0,350.0,607,488.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Munshiganj,500.0,,,,548.0,450.0,636,500.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Narayanganj,665.0,580.0,615.0,528.0,550.0,400.0,697,592.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Narsingdi,,350.0,531.0,,558.0,,576,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Faridpur,574.0,,,,500.0,,623,300.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Rajbari,538.0,450.0,525.0,,,,614,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Madaripur,462.0,438.0,,,500.0,,532,418.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Gopalganj,500.0,,,,425.0,350.0,499,367.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Shariatpur,605.0,363.0,,,600.0,,667,420.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Tangail,600.0,430.0,528.0,380.0,496.0,330.0,623,443.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Kishoreganj,474.0,,534.0,,578.0,,578,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Mymensingh,551.0,476.0,510.0,443.0,405.0,426.0,589,528.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Jamalpur,520.0,,505.0,,480.0,,585,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Sherpur,542.0,350.0,502.0,300.0,500.0,,570,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Netrakona,564.0,488.0,547.0,440.0,510.0,420.0,608,553.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Barisal,583.0,,600.0,,,,607,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Jhalokati,593.0,,,,,,673,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Pirojpur,588.0,,568.0,,,,640,400.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Bhola,552.0,,523.0,,,,650,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Patuakhali,593.0,,,,,,673,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Barguna,600.0,450.0,570.0,,,,640,500.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Jhenaidah,414.0,300.0,434.0,290.0,415.0,,438,325.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Magura,449.0,320.0,414.0,280.0,375.0,230.0,486,370.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Narail,407.0,332.0,,,,,449,361.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Khulna,450.0,380.0,430.0,,400.0,350.0,542,391.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Bagerhat,600.0,,595.0,,500.0,,574,367.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Satkhira,,,,,,,425,307.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,2024-02,Kushtia,550.0,,,,,,556,
