crop_group,crop_en,crop_bn,page,occurrence,fertilizer,dose_min,dose_max,unit,basis,plausible_per_ha,snippet
tuber,potato,আলু,25,0,urea,325.0,350.0,kg,ha,True,ইউরিয়া 325-350 কেজি
tuber,potato,আলু,25,1,tsp,200.0,220.0,kg,ha,True,টিএসপি 200-220 কেজি
tuber,potato,আলু,25,2,mop,250.0,300.0,kg,ha,True,এমপি 250-300 কেজি
tuber,potato,আলু,25,3,gypsum,100.0,120.0,kg,ha,True,জিপসাম 100-120 কেজি
tuber,potato,আলু,25,4,zinc_sulphate,8.0,10.0,kg,ha,True,জিংক সালফেট 8-10 কেজি
tuber,potato,আলু,25,5,boron,6.0,9.0,kg,ha,True,বোরিক এসিড (প্রয়োজনবোধে) 6-9 কেজি
tuber,potato,আলু,25,6,cowdung,10.0,10.0,t,ha,True,গোবর 10 টন
tuber,sweet potato,মিষ্টি আলু,41,0,urea,250.0,280.0,kg,ha,True,ইউরিয়া 250-280
tuber,sweet potato,মিষ্টি আলু,41,1,tsp,140.0,170.0,kg,ha,True,টি এস পি 140-170
tuber,sweet potato,মিষ্টি আলু,41,2,mop,230.0,260.0,kg,ha,True,এমও পি 230-260
tuber,sweet potato,মিষ্টি আলু,41,3,gypsum,60.0,80.0,kg,ha,True,জিপসাম 60-80
tuber,sweet potato,মিষ্টি আলু,41,4,zinc_sulphate,10.0,12.0,kg,ha,True,জিংক সালফেট* 10-12
tuber,sweet potato,মিষ্টি আলু,41,5,magnesium_sulphate,90.0,120.0,kg,ha,True,ম্যাগনেসিয়াম সালফেট* 90-120
tuber,sweet potato,মিষ্টি আলু,41,6,boron,6.0,8.0,kg,ha,True,বরিক এসিড* 6-8
tuber,sweet potato,মিষ্টি আলু,41,7,cowdung,10.0,10.0,t,ha,True,"গোবর 10,000"
tuber,water taro (panikochu),কচু,54,0,cowdung,10.0,15.0,t,ha,True,"গোবর 10,000-15,000"
tuber,water taro (panikochu),কচু,54,1,urea,300.0,350.0,kg,ha,True,ইউরিয়া 300 - 350
tuber,water taro (panikochu),কচু,54,2,tsp,150.0,200.0,kg,ha,True,টিএসপি 150 - 200
tuber,water taro (panikochu),কচু,54,3,mop,300.0,340.0,kg,ha,True,এমওপি 300-340
tuber,water taro (panikochu),কচু,54,4,gypsum,100.0,130.0,kg,ha,True,জিপসাম 100 - 130
tuber,water taro (panikochu),কচু,54,5,zinc_sulphate,10.0,16.0,kg,ha,True,জিংক সালফেট* 10 - 16
tuber,water taro (panikochu),কচু,54,6,boron,10.0,12.0,kg,ha,True,বরিক এসিড* 10 - 12
tuber,tannia (Xanthosoma),সাহেবীকচু,58,0,cowdung,8.0,8.0,kg,plant,False,গোবর 8 কেজি
tuber,tannia (Xanthosoma),সাহেবীকচু,58,1,urea,100.0,100.0,g,plant,False,ইউরিয়া 100 গ্রাম
tuber,tannia (Xanthosoma),সাহেবীকচু,58,2,dap,140.0,140.0,g,plant,False,ডিএপি 140 গ্রাম
tuber,tannia (Xanthosoma),সাহেবীকচু,58,3,mop,140.0,140.0,g,plant,False,এমওপি 140 গ্রাম
tuber,tannia (Xanthosoma),সাহেবীকচু,58,4,gypsum,12.0,12.0,g,plant,False,জিপসাম 12 গ্রাম
