crop,variety,alias,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,oil_pct,drought_tolerant,salt_tolerant,heat_tolerant,waterlogging_tolerant,cold_tolerant,fits_after_aman,short_duration,bijoy_name,description_bijoy,source
Barley,BARI Barley-1,,1994.0,108.0,112.0,2.2,2.5,85.0,,False,False,False,False,False,False,False,evwi evwj©-1,"1988 mv‡j CIMMYT †_‡K G RvZwU evsjv‡`‡k Avbv nq| cieZ©x Kv‡j wewfbœ cix¶v-wbix¶vi gva¨‡g 1994 mv‡j evwi evwj©-1 bv‡g G RvZwU Aby‡gv`b jvf K‡i| G Rv‡Zi D”PZv gvSvix (85-90 †mwg)| cvZvi is Mvp meyR I KvÐ k³| MvQ mn‡R by‡q c‡o bv| exR, kx‡l 6 mvwi‡Z Ae¯’vb K‡i| `vbv †Lvmvhy³| `vbvi is †mvbvjx| nvRvi `vbvi IRb 36-38 Mªvg| G †`‡ki AvenvIqvq Gi RxebKvj 108-112 w`b| G RvZwU‡Z †ivM I †cvKvi AvµgY Lye Kg| †mP Qvov Pvl Ki‡jI †n±icÖwZ 2.2-2.5 Ub djb cvIqv hvq| Z‡e GKwU †mP cÖ‡qv‡M djb e…w× cvq|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-2,,1994.0,,,2.0,2.5,,,False,False,False,False,False,False,False,evwi evwj©-2,"Ôevwi evwj©-2Õ RvZwU 1994 mv‡j Aby‡gvw`Z nq| G Rv‡Zi MvQ gvSvix D”PZvm¤úbœ| exR 6 mvwi wewkó Ges †Lvmvhy³ KvÐ k³, d‡j mn‡R †n‡j c‡o bv| RvZwU †Mvov cPv I Sjmv‡bv †ivM cÖwZ‡iva ¶gZvm¤úbœ| G RvZwUi nvRvi ex‡Ri IRb 35-38 Mªvg Ges `vbv‡Z 12-14% Avwgl _v‡K| Ôevwi evwj©-2Õ †mPwenxb Pv‡l †n±icÖwZ 2.0-2.5 Ub Ges GKwU †mPmn Pv‡l 2.5-3.0 Ub djb cvIqv hvq|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-3,,2001.0,95.0,100.0,2.2,2.5,,,False,False,False,False,False,False,False,evwi evwj©-3,"K¨vwj‡dvwb©qv †_‡K Avg`vwbK…Z jvBb †_‡K Kvivb-19 evQvB K‡i cÖwµqvi gva¨‡g cwi¶Y-wbix¶Y K‡i RvZwU 2001 mv‡j RvZxq exR †evW© KZ©…K Aby‡gvw`Z nq| MvQ LvU cÖK…wZi 75-85 †mwg| cvZv †gvghy³ 6 mvwi, †Lvmvgy³ `vbv, kxl 10-12 †mwg j¤^v| nvRvi `vbvi IRb 34-36 Mªvg| †ivMevjvB Kg, `vbv eo, 95-100 w`‡b dmj cwic° nq| Mo djb 2.20-2.50 Ub/‡n±i|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-4,,2001.0,95.0,100.0,1.75,2.0,95.0,,False,True,False,False,False,False,False,evwi evwj©-4,"RvZwU 2001 mv‡j RvZxq exR †evW© KZ©…K Aby‡gvw`Z nq| evsjv‡`‡ki wewfbœ †Rjv †_‡K bgybv msMªn K‡i evQvB cÖwµqvi gva¨‡g cix¶v-wbix¶v K‡i RvZwU D™¢veb Kiv nq| jeYv³Zv mnbkxj, jeYv³ GjvKvq Mv‡Qi D”PZv 95-100 †mwg, 6 mvwi †Lvmvhy³ `vbv| kxl 8-10 †mwg| nvRvi `vbvi IRb 35-38 Mªvg| †ivMevjvB Kg, `vbv cwicyó I †mvbvjx e‡Y©i, 95-100 w`‡b dmj cwic° nq| Mo djb 1.75-2.00 Ub/†n±i|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-5,,2005.0,95.0,98.0,2.5,3.0,95.0,,False,False,False,False,False,False,True,evwi evwj©-5,"Ôevwi evwj©-1Õ I Ô†ej-4Õ Gi g‡a¨ msKivq‡Yi gva¨‡g D™¢vweZ| RvZwU 2005 mv‡j RvZxq exR †evW© KZ©…K Aby‡gvw`Z nq| Mv‡Qi D”PZv 95-100 †mwg| AvMvg cwic°Zv wewkó| cvZvi is meyR| ex‡Ri is ev`vgx, exR 6 mvwi wewkó| kxl 10-12 †mwg ch©šÍ j¤^v nq| cÖwZ kx‡l 60-65 wU `vbv _v‡K| exR †Lvmvhy³| Rxeb Kvj 95-98 w`b| nvRvi `vbvi IRb 36-38 Mªvg| Dchy³ cwi‡e‡k Mo djb 2.50-3.00 Ub/†n±i| GwU evsjv‡`‡ki Kg Ee©i, Liv wcoxZ I Pi AÂ‡j Pvl Dc‡hvMx|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-6,,2005.0,98.0,102.0,2.5,2.75,85.0,,False,False,False,False,False,False,False,evwi evwj©-6,"RvZwU 2005 mv‡j RvZxq exR †evW KZ©…K Aby‡gvw`Z nq| evwi evwj©-1 Ges B-6 Gi g‡a¨ msKivq‡Yi gva¨‡g D™¢vweZ| Mv‡Qi D”PZv 85-90 †mwg| cvZvi is meyR, k³ KvÐ wewkó, by‡q c‡o bv | kxl 10-12 †mwg chšÍ© j¤^v nq| exR 6 mvwi wewkó Ges †Lvmvgy³| cÖwZwU kx‡l 48-65 wU exR _v‡K| RxebKvj 98-102 w`b| nvRvi `vbvi IRb 35-38 Mªvg| †ivMevjvB Kg, `vbv eo I †mvbvjx e‡Y©i| Dchy³ cwi‡e‡k Mo djb 2.50-2.75 Ub/†n±i| jeYv³ GjvKvq Mo djb 2.5-2.75 Ub/‡n±i| ex‡Ri iO ev`vgx| GwU evsjv‡`‡ki Kg Ee©i, Liv wcoxZ I Pi AÂ‡j Pvl Dc‡hvMx|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-7,,2015.0,95.0,105.0,2.0,2.5,50.0,,False,True,False,False,False,False,False,evwi evwj©-7,evsjv‡`k K…wl M‡elYv Bbw÷wUDU Gi Dw™¢` cÖRbb wefvM KZ©…K D™¢vweZ evwi evwj©-7 GKwU jeYv³Zv mnbkxj †Lvmvgy³ evwj©i RvZ| K¨vwj‡dvwb©qv †_‡K msM…nxZ Kvivb-351 Gi mv‡_ ICARDA E-21 Rv‡Zi msKivq‡Yi gva¨‡g Ges wewfbœ AvenvIqvq cix¶v-wbix¶vi gva¨‡g G RvZwU D™¢veb Kiv nq| †`‡ki wewfbœ jeYv³ GjvKvq gvV ch©v‡qi cix¶vq fvj djb †`qvq RvZwU RvZxq exR †evW© KZ©…K 2015 mv‡j evwi evwj©-7 bv‡g Aegy³ Kiv nq| jeYv³ GjvKvq G Rv‡Zi Mv‡Qi Mo D”PZv 50-65 †mwg| kxl †ei n‡Z 60-65 w`b Ges †evbv †_‡K cvKv chšÍ© 95-105 w`b jv‡M| RvZwUi kxl Qq mvwi wewkó I `vbv¸‡jv †Lvmvgy³| kx‡l `vbvi msL¨v 38-48 (cÖvq)| `vbvi iO ev`vgx I AvKv‡i gvSvix| nvRvi `vbvi IRb 30-40 Mªvg| RvZwU 08 wWGm/wg ch©šÍ jeYv³Zv mn¨ Ki‡Z cv‡i| †n±i cÖwZ djb 2.00-2.50 Ub/‡n±i (jeYv³ GjvKvq)|,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-8,,2018.0,95.0,95.0,2.2,2.51,73.0,,False,True,False,False,False,False,False,evwi evwj©-8,"evsjv‡`k K…wl M‡elYv Bbw÷wUDU Gi Dw™¢` cÖRbb wefvM KZ©…K D™¢vweZ evwi evwj©-8 GKwU jeYv³Zv mnbkxj †Lvmvgy³ evwj©i RvZ| K¨vwj‡dvwbqv †_‡K msMÖnxZ Kvivb-19 Gi mv‡_ ICARDA, wmwiqv †_‡K msM„nxZ IEBON/96-163 Rv‡Zi msKivq‡Yi gva¨‡g Ges wewfbœ AvenvIqvq cix¶v-wbix¶vi gva¨‡g G RvZwU D™¢veb Kiv nq| †`‡ki wewfbœ jeYv³ GjvKvq gvV ch©v‡qi cix¶vq fvj djb †`qvq RvZwUi RvZxq exR †evW© KZ©…K 2018 mv‡j evwi evwj©-8 bv‡g Aegy³ Kiv nq| G Rv‡Zi Mv‡Qi Mo D”PZv 73 †mwg| †evbv †_‡K cvKv chšÍ© 95 w`b jv‡M| RvZwUi kxl Qq mvwi wewkó I `vbv ¸‡jv †Lvmv gy³| kxl M‡o 10.7 †mwg ch©šÍ j¤^v nq| cÖwZwU kx‡l `vbvi msL¨v 58| `vbvi iO ev`vgx I AvKv‡i gvSvix| nvRvi `vbvi IRb 34-38 Mªvg| RvZwU 4.8-10.0 wWGm/wg ch©šÍ jeYv³Zv mn¨ Ki‡Z cv‡i| †n±i cÖwZdjb 2.20-2.51 Ub/†n±i (jeYv³ GjvKvq)| Kg Ee©i, cÖwZK~j cÖvwšÍK Rwg †hgb †hgb jeYv³ GjvKvq (‡bvqvLvjx, cUyqvLvjx, mvZ¶xiv I Lyjbv) Ges PivÂ‡j Kg Li‡P GB RvZwU Pvl Dc‡hvMx|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-9,,2018.0,97.0,99.0,2.2,2.2,100.0,,True,False,False,False,False,False,False,evwi evwj©-9,"evsjv‡`k K…wl M‡elYv Bbw÷wUDU Gi Dw™¢` cÖRbb wefvM KZ©…K D™¢vweZ evwi evwj©-9 GKwU Liv mnbkxj †Lvmvgy³ evwj©i RvZ| K¨vwj‡dvwb©qv †_‡K msMÖnxZ Kvivb-351 Gi mv‡_ ICARDA, wmwiqv †_‡K msMÖnxZ E-21 MRA Rv‡Zi msKivq‡Yi gva¨‡g Ges wewfbœ AvenvIqvq cix¶v-wbix¶vi gva¨‡g G RvZwU D™¢veb Kiv nq| †`‡ki wewfbœ Liv GjvKvq gvV ch©v‡qi cix¶vq fvj djb †`qvq RvZwUi RvZxq exR †evW© KZ©…K 2018 mv‡j evwi evwj©-9 bv‡g Aegy³ nq| RvZwUi Mo D”PZv 100 †mwg Ges cÖwZ Mv‡Q 3wU K‡i Kvh©Kwi Kywk Av‡Q| Liv GjvKvq RvZwUi `vbvi djb 2.2 Ub/†n±i Ges L‡oi djb 4.2 Ub/†n±i| RvZwUi kxl 8.9 †mwg j¤^v, kx‡l `vbv 6 mvwi wewkó nq Ges cÖwZ kx‡l M‡o 38wU K‡i `vbv Av‡Q| `vbv †Lvmvgy³ I Lo e‡Y©i Ges 1,000 `vbvi IRb 36 Mªvg| RvZwU 97 -99 w`‡b cwic° nq| evsjv‡`‡ki mKj GjvKv‡Z GB RvZwU Pvl Kiv hvq we‡klfv‡e Liv cÖeY GjvKvq Pvl Dc‡hvMx| RvZwU‡Z L‡oi cwigvY †ewk nq weavq Liv cÖeY GjvKvq †hLv‡b Mev`x cïi Lvev‡ii Afve i‡q‡Q †mLv‡b Pvl Dc‡hvMx|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Barley,BARI Barley-10,,,,,,,90.0,,False,True,False,False,False,False,False,evwi evwj©-10,"Rjevqz cwieZ©‡bi avivevwnKZvq ˆewk¦K DòZv µgvš^‡q e„w×i d‡j jeYv³Zv I Livmn Ab¨vb¨ cÖvK…wZK `‚‡h©v‡Mi ZxeÖZv e„w×cv‡”Q| evwi evwj© 10 jeYv³Zv mnbkxj (10 wWGm/wg) RvZ, hv jeYv³Zv GjvKv †hgb, †ebvi‡cvZv, mvZ¶xiv, ei¸bv, cUzqvLvjx, Lyjbv‡Z Pvl Dc‡hvMx| ˆewkó¨  RvZwUi kxl Qq mvwi wewkó I `vbv †Lvmvgy³|  Mv‡Qi D”PZv 90-95 †m.wg.|  jeYv³Zv mnbkxj (10 wWGm/wg.)  jeYv³ Rwg‡Z M‡o 2.0-2.40 Ub/‡n±i djb w`‡Z m¶g Ges cwic° n‡Z 80-86 w`b mgq jv‡M |  cwic° n‡Z 95-105 w`b mgq jv‡M|  nvRvi `vbvi IRb 36-40 MÖvg|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
