variety,season,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,seedbed_sowing,seedling_age_days,harvest,salt_tolerant,salt_tolerance_ds_m,submergence_tolerant,drought_tolerant,cold_tolerant,aromatic,zinc_mg_kg,notes,source,source_file,url
BR1,Boro,1970.0,145.0,150.0,5.5,5.5,88.0,15-29 Nov,35-40,14-28 Apr,False,,False,False,False,False,,Chandina; short bold grain; transplant 19 Dec-8 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR1.pdf
BR1,Aus,1970.0,120.0,120.0,4.0,4.0,88.0,29 Mar-18 Apr,20-25,30 Jul-20 Aug,False,,False,False,False,False,,Chandina; transplant 18 Apr-18 May,read from scanned factsheet,wp_content_uploads_2014_04__BR1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR1.pdf
BR2,Boro,1971.0,160.0,160.0,5.0,5.0,120.0,4-19 Nov,35-40,14-28 Apr,False,,False,False,False,False,,Mala; medium-fine white grain; transplant 9 Dec-28 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR2.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR2.pdf
BR2,Aus,1971.0,125.0,125.0,4.0,4.0,120.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Mala; transplant 18 Apr-13 May,read from scanned factsheet,wp_content_uploads_2014_04__BR2.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR2.pdf
BR3,Boro,1973.0,170.0,170.0,6.5,6.5,95.0,15 Nov - 15 Dec,40-45,18 Apr - 30 May,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Boro__Factsheet2-BR3_BIPLOP_.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet2-BR3%20(BIPLOP).pdf
BR4,Aman,1975.0,145.0,145.0,5.0,5.0,125.0,1 Jun-15 Jul,30-35,25-30 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet29-BR4_BRRI_Shail_.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet29-BR4%20(BRRI%20Shail).pdf
BR5,Aman,1976.0,150.0,150.0,3.0,3.0,120.0,25-30 Jul,25-30,25-30 Nov,False,,False,False,False,False,,,text layer (Bijoy encoding),tion_Training_Manual_Day_1_Module_2_Aman__Factsheet30-BR5_dulabhog_.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet30-BR5%20(dulabhog).pdf
BR6,Boro,1977.0,140.0,140.0,4.5,4.5,100.0,15-29 Nov,35-40,14-28 Apr,False,,False,False,False,False,,long fine white grain; transplant 19 Dec-8 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR6.pdf
BR6,Aus,1977.0,110.0,110.0,3.5,3.5,100.0,29 Mar-18 Apr,20-25,25 Jul-14 Aug,False,,False,False,False,False,,transplant 18 Apr-8 May,read from scanned factsheet,wp_content_uploads_2014_04__BR6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR6.pdf
BR7,Boro,1977.0,155.0,155.0,4.5,4.5,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,BRRI Balam; long fine grain; tall seedlings suit deeper water,read from scanned factsheet,wp_content_uploads_2014_04__BR7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR7.pdf
