district,cattle_head_2015,cells,cattle_per_km2,source
Dinajpur,1157312,45,336.0,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Mymensingh,926154,55,210.7,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Naogaon,795201,43,231.4,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Bogra,787092,38,271.6,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Rangpur,749115,30,312.2,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Tangail,745589,46,218.3,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Gaibandha,706547,30,333.8,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Thakurgaon,612552,24,344.0,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Comilla,611200,40,194.4,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Jessore,604798,30,232.1,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Jamalpur,536378,28,253.4,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Jhenaidah,520412,27,264.6,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Sirajganj,518276,31,215.6,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Netrakona,502265,38,179.9,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Rajshahi,477930,30,197.2,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Sunamganj,477678,48,127.5,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Kishoreganj,455190,31,169.4,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
Sylhet,454831,44,131.8,"FAO GLW4 cattle 2015 (Gilbert et al. 2018), doi:10.7910/DVN/LHBICE, CC0"
