rank,pattern,area_ha,pct_nca,n_districts,n_upazilas,n_crops,fallow_slots,has_rice,has_legume,rabi,kharif1,kharif2,extra,source
1,Boro−Fallow−T. Aman,2306005,26.919,63,426,2,1,True,False,Boro,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
2,Boro−Fallow−Fallow,1139530,13.302,59,342,1,2,True,False,Boro,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
3,Fallow−Fallow−T. Aman,509480,5.947,36,162,1,2,True,False,Fallow,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
4,Boro−Aus−T. Aman,209015,2.44,47,177,3,0,True,False,Boro,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
5,Fallow−Aus−T. Aman,193275,2.256,30,108,2,1,True,False,Fallow,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
6,Mustard−Boro−T. Aman,184620,2.155,51,203,3,0,True,False,Mustard,Boro,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
7,Boro−B.Aman,183070,2.137,32,113,2,0,True,False,Boro,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
8,Potato−Boro−T. Aman,180380,2.106,33,115,3,0,True,False,Potato,Boro,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
9,Wheat−Jute−T. Aman,147210,1.718,43,216,3,0,True,False,Wheat,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
10,Vegetable−Vegetable−Vegetable,143270,1.672,61,283,3,0,False,False,Vegetable,Vegetable,Vegetable,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
11,Mustard−Boro−Fallow,143130,1.671,37,112,2,1,True,False,Mustard,Boro,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
12,Grasspea−Fallow−T. Aman,108150,1.262,25,80,2,1,True,True,Grasspea,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
13,Maize−Fallow−T. Aman,101460,1.184,39,126,2,1,True,False,Maize,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
14,Wheat−Fallow−T. Aman,90910,1.061,39,100,2,1,True,False,Wheat,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
15,Mungbean−Fallow−T. Aman,89650,1.047,22,70,2,1,True,True,Mungbean,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
16,Grasspea−Aus−T. Aman,81610,0.953,19,61,3,0,True,True,Grasspea,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
17,Vegetable−Fallow−T. Aman,74710,0.872,45,170,2,1,True,False,Vegetable,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
18,Vegetable−Vegetable−Fallow,63935,0.746,59,168,2,1,False,False,Vegetable,Vegetable,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
19,Onion−Jute−T. Aman,54185,0.633,39,102,3,0,True,False,Onion,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
20,Mungbean−Aus−T. Aman,53730,0.627,14,43,3,0,True,True,Mungbean,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
21,Chilli−Fallow−T. Aman,52995,0.619,45,146,2,1,True,False,Chilli,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
22,Lentil−Jute−T. Aman,51875,0.606,34,96,3,0,True,True,Lentil,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
23,Vegetable−Vegetable−T. Aman,51745,0.604,49,127,3,0,True,False,Vegetable,Vegetable,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
24,Wheat−Jute−Fallow,48700,0.568,32,82,2,1,False,False,Wheat,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
25,Potato−Maize−T. Aman,47690,0.557,19,68,3,0,True,False,Potato,Maize,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
26,Boro−Aus−Fallow,45865,0.535,34,71,2,1,True,False,Boro,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
27,Onion−Jute−Fallow,45200,0.528,29,67,2,1,False,False,Onion,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
28,Boro−Jute−T. Aman,40440,0.472,19,56,3,0,True,False,Boro,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
29,Felon−Fallow−T. Aman,37675,0.44,14,53,2,1,True,True,Felon,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
30,Mustard−Boro−B.Aman,36520,0.426,14,32,3,0,True,False,Mustard,Boro,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
31,Wheat−Aus−T. Aman,36425,0.425,35,93,3,0,True,False,Wheat,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
32,Mustard−Jute−T. Aman,32740,0.382,29,64,3,0,True,False,Mustard,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
33,Lentil−Jute−Fallow,32360,0.378,27,67,2,1,False,True,Lentil,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
34,Boro−Fish,31400,0.367,3,17,2,0,True,False,Boro,Fish,Fish,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
35,Vegetable−Fallow−Fallow,31115,0.363,35,84,1,2,False,False,Vegetable,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
36,Groundnut−Fallow−T. Aman,29210,0.341,23,60,2,1,True,True,Groundnut,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
37,Vegetable−Aus−T. Aman,28700,0.335,42,87,3,0,True,False,Vegetable,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
38,Water Melon−Fallow−T. Aman,28340,0.331,17,49,2,1,True,False,Water Melon,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
39,Potato−Jute−T. Aman,28310,0.33,36,95,3,0,True,False,Potato,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
40,Potato−B.Aman,23900,0.279,9,25,2,0,True,False,Potato,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
41,Soybean−Fallow−T. Aman,23670,0.276,5,10,2,1,True,True,Soybean,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
42,Soybean−Aus−T. Aman,23170,0.27,5,8,3,0,True,True,Soybean,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
43,Potato−Fallow−T. Aman,22715,0.265,34,108,2,1,True,False,Potato,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
44,Potato−Aus−T. Aman,22405,0.262,29,79,3,0,True,False,Potato,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
45,Wheat−Mungbean−T. Aman,21760,0.254,20,50,3,0,True,True,Wheat,Mungbean,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
46,Grasspea−B.Aman,21480,0.251,21,52,2,0,True,True,Grasspea,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
47,Maize−Jute−Fallow,21425,0.25,19,33,2,1,False,False,Maize,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
48,Maize−Jute−T. Aman,21325,0.249,18,38,3,0,True,False,Maize,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
49,Vegetable−Boro−T. Aman,21220,0.248,22,42,3,0,True,False,Vegetable,Boro,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
50,Grasspea−Jute−Fallow,21000,0.245,21,39,2,1,False,True,Grasspea,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
51,Fish−T. Aman,20400,0.238,3,8,2,0,True,False,Fish,T. Aman,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
52,Soybean−Jute−T. Aman,20000,0.233,4,6,3,0,True,True,Soybean,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
53,Potato−Boro−Fallow,19360,0.226,17,27,2,1,True,False,Potato,Boro,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
54,Mustard−Boro−Aus,18140,0.212,10,16,3,0,True,False,Mustard,Boro,Aus,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
55,Mustard−B.Aman,17210,0.201,12,24,2,0,True,False,Mustard,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
56,Mustard−Jute−Fallow,17180,0.201,16,35,2,1,False,False,Mustard,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
57,Sweet Potato−Fallow−T. Aman,16990,0.198,31,103,2,1,True,False,Sweet Potato,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
58,Groundnut−Fallow−Fallow,16485,0.192,35,76,1,2,False,True,Groundnut,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
59,Boro−Jute−Fallow,16370,0.191,19,25,2,1,True,False,Boro,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
60,Fallow−B.Aman,16360,0.191,15,29,1,1,True,False,Fallow,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
61,Wheat−Maize−T. Aman,16320,0.191,9,14,3,0,True,False,Wheat,Maize,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
62,Wheat−Aus−Fallow,16200,0.189,17,26,2,1,True,False,Wheat,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
63,Vegetable−Aus−Fallow,15940,0.186,23,41,2,1,True,False,Vegetable,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
64,Tobacco−Jute−T. Aman,15200,0.177,9,19,3,0,True,False,Tobacco,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
65,Mustard−Fallow−T. Aman,14870,0.174,33,84,2,1,True,False,Mustard,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
66,Groundnut−Aus−T. Aman,14535,0.17,10,18,3,0,True,True,Groundnut,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
67,Potato−Jute−Fallow,14515,0.169,25,53,2,1,False,False,Potato,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
68,Boro−Sesbania−T. Aman,14490,0.169,20,33,3,0,True,False,Boro,Sesbania,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
69,Chilli−Aus−T. Aman,14240,0.166,21,38,3,0,True,False,Chilli,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
70,Wheat−B.Aman,13835,0.162,16,32,2,0,True,False,Wheat,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
71,Mustard−Aus−T. Aman,13790,0.161,30,52,3,0,True,False,Mustard,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
72,Fallow−Jute−T. Aman,13620,0.159,18,32,2,1,True,False,Fallow,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
73,Maize−Aus−Fallow,13615,0.159,14,18,2,1,True,False,Maize,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
74,Garlic−Jute−Fallow,13475,0.157,26,48,2,1,False,False,Garlic,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
75,Boro−Vegetable (Float/Norm),13335,0.156,27,36,2,0,True,False,Boro,Vegetable (Float/Norm),Vegetable (Float/Norm),,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
76,Boro−Fallow−Blackgram,13270,0.155,27,44,2,1,True,True,Boro,Fallow,Blackgram,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
77,Chilli−Jute−Fallow,13260,0.155,22,54,2,1,False,False,Chilli,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
78,Vegetable−Jute−Fallow,13185,0.154,26,47,2,1,False,False,Vegetable,Jute,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
79,Garlic−Jute−T. Aman,13090,0.153,38,78,3,0,True,False,Garlic,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
80,Wheat−Aus−Blackgram,13000,0.152,6,8,3,0,True,True,Wheat,Aus,Blackgram,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
81,Maize−Fallow−Fallow,12920,0.151,22,38,1,2,False,False,Maize,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
82,Lentil−Fallow−T. Aman,12680,0.148,29,68,2,1,True,True,Lentil,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
83,Potato−Vegetable−T. Aman,12620,0.147,30,59,3,0,True,False,Potato,Vegetable,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
84,Lentil−Sesame−T. Aman,12450,0.145,14,33,3,0,True,True,Lentil,Sesame,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
85,Fallow−Aus+Non−rice (jhum),11900,0.139,3,20,2,1,True,False,Fallow,Aus+Non,rice (jhum),,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
86,Onion−Vegtable−Vegetable,11735,0.137,39,87,3,0,False,False,Onion,Vegtable,Vegetable,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
87,Fallow−Sesame−T. Aman,11640,0.136,13,20,2,1,True,False,Fallow,Sesame,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
88,Vegetable−Jute−T. Aman,11305,0.132,25,51,3,0,True,False,Vegetable,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
89,Lentil−Aus−T. Aman,11255,0.131,25,46,3,0,True,True,Lentil,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
90,Onion−B.Aman,10905,0.127,14,27,2,0,True,False,Onion,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
91,Garlic−B.Aman,10850,0.127,15,21,2,0,True,False,Garlic,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
92,Potato−Sesbania,10770,0.126,5,15,2,0,False,False,Potato,Sesbania,Sesbania,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
93,Wheat−Sesame−T. Aman,10650,0.124,15,33,3,0,True,False,Wheat,Sesame,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
94,Water Melon−Aus−T. Aman,10355,0.121,11,14,3,0,True,False,Water Melon,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
95,Grasspea−Jute−T. Aman,10300,0.12,25,43,3,0,True,True,Grasspea,Jute,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
96,Potato−Maize−Fallow,9640,0.113,10,16,2,1,False,False,Potato,Maize,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
97,Chilli−Fallow−Fallow,9265,0.108,40,66,1,2,False,False,Chilli,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
98,Sesame−Fallow−T. Aman,9265,0.108,19,31,2,1,True,False,Sesame,Fallow,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
99,Felon−Aus−T. Aman,9245,0.108,7,16,3,0,True,True,Felon,Aus,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
100,Boro−Sesbania−Fallow,9180,0.107,12,19,2,1,True,False,Boro,Sesbania,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
101,Chilli−B.Aman,9120,0.106,10,23,2,0,True,False,Chilli,B.Aman,B.Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
102,Chilli−Vegetable−Fallow,8810,0.103,44,104,2,1,False,False,Chilli,Vegetable,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
103,Onion−Aus−Fallow,8705,0.102,12,17,2,1,True,False,Onion,Aus,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
104,Fallow−Fallow−Blackgram,8695,0.102,34,59,1,2,False,True,Fallow,Fallow,Blackgram,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
105,Boro−Vegetable−T. Aman,8660,0.101,9,16,3,0,True,False,Boro,Vegetable,T. Aman,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
106,Boro−Aus−Blackgram,8540,0.1,5,5,3,0,True,True,Boro,Aus,Blackgram,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
107,Sweet Potato−Fallow−Fallow,7980,0.093,37,98,1,2,False,False,Sweet Potato,Fallow,Fallow,,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
108,Mustard−Boro−Aus−T. Aman,7850,0.092,14,30,4,0,True,False,Mustard,Boro,Aus,T. Aman,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
