pattern,district,area_ha,pct_district_nca,pct_of_pattern_in_bd,source
Boro-Fallow-T. Aman,Mymensingh,188650,65.13,8.18,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Dinajpur,138400,49.99,6.0,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Netrakona,98300,49.22,4.26,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Gaibandha,96670,63.87,4.19,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Naogaon,96400,35.59,4.18,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Tangail,84000,36.04,3.64,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Kurigram,83500,55.91,3.62,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Rangpur,81300,46.39,3.53,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Jessore,80700,42.48,3.5,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Bogra,80200,36.1,3.48,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Jamalpur,75300,46.83,3.27,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Sherpur,69000,68.62,2.99,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Nilphamari,65300,53.7,2.83,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Jhenaidah,54900,39.26,2.38,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Chittagong,46420,23.19,2.01,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Thakurgaon,45050,30.36,1.95,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Lalmonirhat,44600,45.12,1.93,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
