crop,group,kc_ini,kc_ini_from_group,kc_mid,kc_mid_low,kc_end,kc_end_low,max_height_m,kc_mid_printed,kc_end_printed,source
Broccoli,Small Vegetables,0.7,True,1.05,1.05,0.95,0.95,0.3,1.05,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Brussel Sprouts,Small Vegetables,0.7,True,1.05,1.05,0.95,0.95,0.4,1.05,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cabbage,Small Vegetables,0.7,True,1.05,1.05,0.95,0.95,0.4,1.05,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Carrots,Small Vegetables,0.7,True,1.05,1.05,0.95,0.95,0.3,1.05,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cauliflower,Small Vegetables,0.7,True,1.05,1.05,0.95,0.95,0.4,1.05,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Celery,Small Vegetables,0.7,True,1.05,1.05,1.0,1.0,0.6,1.05,1.00,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Garlic,Small Vegetables,0.7,True,1.0,1.0,0.7,0.7,0.3,1.00,0.70,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Lettuce,Small Vegetables,0.7,True,1.0,1.0,0.95,0.95,0.3,1.00,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Onions - dry,Small Vegetables,0.7,True,1.05,1.05,0.75,0.75,0.4,1.05,0.75,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Onions - green,Small Vegetables,0.7,True,1.0,1.0,1.0,1.0,0.3,1.00,1.00,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Onions - seed,Small Vegetables,0.7,True,1.05,1.05,0.8,0.8,0.5,1.05,0.80,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Spinach,Small Vegetables,0.7,True,1.0,1.0,0.95,0.95,0.3,1.00,0.95,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Radish,Small Vegetables,0.7,True,0.9,0.9,0.85,0.85,0.3,0.90,0.85,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Egg Plant,Vegetables - Solanum Family (Solanaceae),0.6,True,1.05,1.05,0.9,0.9,0.8,1.05,0.90,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet Peppers (bell),Vegetables - Solanum Family (Solanaceae),0.6,True,1.05,1.05,0.9,0.9,0.7,1.05,0.90,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
