item,element,year,value,unit
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Production,1961,600.0,t
Areca nuts,Area harvested,1961,82600.0,ha
Areca nuts,Yield,1961,762.7,kg/ha
Areca nuts,Production,1961,62995.0,t
Bananas,Area harvested,1961,33600.0,ha
Bananas,Yield,1961,13273.8,kg/ha
Bananas,Production,1961,446000.0,t
Barley,Area harvested,1961,29947.0,ha
Barley,Yield,1961,576.8,kg/ha
Barley,Production,1961,17272.0,t
"Beans, dry",Area harvested,1961,68798.0,ha
"Beans, dry",Yield,1961,723.6,kg/ha
"Beans, dry",Production,1961,49784.0,t
Buffalo,Stocks,1961,500000.0,An
"Buffalo fat, unrendered",Production,1961,91.04,t
"Buffalo fat, unrendered",Producing Animals/Slaughtered,1961,25000.0,An
Butter of cow milk,Production,1961,450.0,t
Cabbages,Area harvested,1961,5765.0,ha
Cabbages,Yield,1961,5756.3,kg/ha
Cabbages,Production,1961,33185.0,t
Cantaloupes and other melons,Area harvested,1961,6000.0,ha
Cantaloupes and other melons,Yield,1961,16666.7,kg/ha
Cantaloupes and other melons,Production,1961,100000.0,t
Castor oil seeds,Area harvested,1961,405.0,ha
Castor oil seeds,Yield,1961,501.2,kg/ha
Castor oil seeds,Production,1961,203.0,t
Cattle,Stocks,1961,19850000.0,An
"Cattle fat, unrendered",Production,1961,3844.57,t
"Cattle fat, unrendered",Producing Animals/Slaughtered,1961,2105000.0,An
Cauliflowers and broccoli,Area harvested,1961,5419.0,ha
Cauliflowers and broccoli,Yield,1961,5049.5,kg/ha
Cauliflowers and broccoli,Production,1961,27363.0,t
Cheese from whole cow milk,Production,1961,650.0,t
"Chick peas, dry",Area harvested,1961,60299.0,ha
"Chick peas, dry",Yield,1961,606.6,kg/ha
"Chick peas, dry",Production,1961,36576.0,t
Chickens,Stocks,1961,16000.0,1000 An
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Area harvested,1961,70800.0,ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Yield,1961,663.8,kg/ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Production,1961,47000.0,t
