item,year,Area harvested,Production,Stocks,Yield
Buffalo,1961,,,500000.0,
Buffalo,1962,,,550000.0,
Buffalo,1963,,,600000.0,
Buffalo,1964,,,641000.0,
Buffalo,1965,,,630000.0,
Buffalo,1966,,,650000.0,
Buffalo,1967,,,700000.0,
Buffalo,1968,,,780000.0,
Buffalo,1969,,,800000.0,
Buffalo,1970,,,835000.0,
Buffalo,1971,,,700000.0,
Buffalo,1972,,,580000.0,
Buffalo,1973,,,445000.0,
Buffalo,1974,,,445000.0,
Buffalo,1975,,,445000.0,
Buffalo,1976,,,445000.0,
Buffalo,1977,,,469000.0,
Buffalo,1978,,,429000.0,
Buffalo,1979,,,529000.0,
Buffalo,1980,,,475000.0,
Buffalo,1981,,,476000.0,
Buffalo,1982,,,478000.0,
Buffalo,1983,,,479000.0,
Buffalo,1984,,,578209.0,
Buffalo,1985,,,605000.0,
Buffalo,1986,,,634000.0,
Buffalo,1987,,,664000.0,
Buffalo,1988,,,698000.0,
Buffalo,1989,,,733000.0,
Buffalo,1990,,,772000.0,
Buffalo,1991,,,807000.0,
Buffalo,1992,,,832000.0,
Buffalo,1993,,,866000.0,
Buffalo,1994,,,874000.0,
Buffalo,1995,,,882000.0,
Buffalo,1996,,,860000.0,
Buffalo,1997,,,854000.0,
Buffalo,1998,,,820000.0,
Buffalo,1999,,,850000.0,
Buffalo,2000,,,890000.0,
Buffalo,2001,,,920000.0,
Buffalo,2002,,,970000.0,
Buffalo,2003,,,1010000.0,
Buffalo,2004,,,1060000.0,
Buffalo,2005,,,1110000.0,
Buffalo,2006,,,1160000.0,
Buffalo,2007,,,1210000.0,
Buffalo,2008,,,1260000.0,
Buffalo,2009,,,1304000.0,
Buffalo,2010,,,1349000.0,
Buffalo,2011,,,1394000.0,
Buffalo,2012,,,1443000.0,
Buffalo,2013,,,1465000.0,
Buffalo,2014,,,1457000.0,
Buffalo,2015,,,1464000.0,
Buffalo,2016,,,1471000.0,
Buffalo,2017,,,1478000.0,
Buffalo,2018,,,1485000.0,
Buffalo,2019,,,1490000.0,
Buffalo,2020,,,1493000.0,
Buffalo,2021,,,1500000.0,
Buffalo,2022,,,1508000.0,
Buffalo,2023,,,1516000.0,
Buffalo,2024,,,1524000.0,
Cattle,1961,,,19850000.0,
Cattle,1962,,,20500000.0,
Cattle,1963,,,21150000.0,
Cattle,1964,,,22986000.0,
Cattle,1965,,,22370000.0,
Cattle,1966,,,23500000.0,
Cattle,1967,,,24000000.0,
Cattle,1968,,,24500000.0,
Cattle,1969,,,25000000.0,
Cattle,1970,,,25686000.0,
Cattle,1971,,,25500000.0,
Cattle,1972,,,25500000.0,
Cattle,1973,,,24430000.0,
Cattle,1974,,,24959008.0,
Cattle,1975,,,25500000.0,
Cattle,1976,,,26057008.0,
Cattle,1977,,,26624000.0,
Cattle,1978,,,30520000.0,
Cattle,1979,,,31741008.0,
Cattle,1980,,,21556000.0,
Cattle,1981,,,21863008.0,
Cattle,1982,,,22174000.0,
Cattle,1983,,,22490000.0,
Cattle,1984,,,21920176.0,
Cattle,1985,,,22132000.0,
Cattle,1986,,,22348000.0,
Cattle,1987,,,22567008.0,
Cattle,1988,,,22789008.0,
Cattle,1989,,,23015008.0,
Cattle,1990,,,23244000.0,
Cattle,1991,,,23259008.0,
Cattle,1992,,,23480000.0,
