region,upazila,n_patterns,n_crops,pattern_diversity_index,crop_diversity_index,cropping_intensity_pct,source,adm3_name,district,lat,lon
Barisal,Agailjhara,11,13,0.152,0.221,107,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Agailjhara,Barisal,22.968,90.1408
Barisal,Babuganj,21,19,0.842,0.928,214,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Babuganj,Barisal,22.8235,90.3146
Barisal,Bakerganj,19,15,0.836,0.916,214,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bakerganj,Barisal,22.5524,90.3826
Barisal,Banaripara,20,17,0.767,0.859,169,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Banari Para,Barisal,22.8118,90.1284
Barisal,Barisal sadar,22,14,0.865,0.927,183,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barisal Sadar (Kotwali),Barisal,22.7146,90.3822
Barisal,Gournadi,22,16,0.706,0.845,210,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Gaurnadi,Barisal,22.9662,90.2447
Barisal,Hizla,32,17,0.875,0.936,200,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Hizla,Barisal,22.966,90.5334
Barisal,Mehendiganj,32,19,0.877,0.944,214,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mehendiganj,Barisal,22.8404,90.56
Barisal,Muladi,28,16,0.889,0.943,208,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Muladi,Barisal,22.9526,90.3759
Barisal,Wazirpur,18,14,0.669,0.799,152,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Wazirpur,Barisal,22.8656,90.1659
Barisal,Bhola sadar,37,18,0.827,0.917,249,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhola Sadar,Bhola,22.6837,90.6188
Barisal,Burhanuddin,40,22,0.706,0.87,232,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Burhanuddin,Bhola,22.4774,90.7331
Barisal,Charfasson,26,17,0.937,0.972,221,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Char Fasson,Bhola,22.1331,90.7071
Barisal,Daulatkhan,25,15,0.847,0.936,233,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Daulatkhan,Bhola,22.5959,90.702
Barisal,Lalmohan,24,17,0.833,0.934,232,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Lalmohan,Bhola,22.3148,90.7543
Barisal,Monpura,16,16,0.625,0.816,205,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Manpura,Bhola,22.2002,90.9548
Barisal,Tazumuddin,31,18,0.926,0.968,226,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Tazumuddin,Bhola,22.404,90.8164
Barisal,Amtali,15,13,0.887,0.95,232,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Amtali,Barguna,22.0749,90.2028
Barisal,Bamna,18,14,0.84,0.927,221,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bamna,Barguna,22.2725,90.0581
Barisal,Betagi,8,5,0.821,0.917,241,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Betagi,Barguna,22.3472,90.1482
Barisal,Barguna,15,11,0.745,0.884,236,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barguna Sadar,Barguna,22.1346,90.109
Barisal,Patharghata,10,9,0.712,0.865,209,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patharghata,Barguna,22.0941,89.9658
Barisal,Taltali,8,8,0.598,0.786,152,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,Jhalakati,26,18,0.909,0.953,190,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,Kathalia,24,13,0.862,0.928,206,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kanthalia,Jhalokati,22.4203,90.1024
Barisal,Nalchity,23,17,0.833,0.906,189,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nalchity,Jhalokati,22.6007,90.2736
Barisal,Rajapur,23,15,0.784,0.902,172,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Rajapur,Jhalokati,22.5507,90.131
Barisal,Bauphal,27,16,0.801,0.907,211,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bauphal,Patuakhali,22.433,90.5384
Barisal,Dashmina,27,11,0.68,0.846,206,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dashmina,Patuakhali,22.2802,90.5379
Barisal,Dumki,24,13,0.858,0.931,208,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Dumki,Patuakhali,22.4503,90.3719
Barisal,Galachipa,28,17,0.918,0.965,219,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Galachipa,Patuakhali,22.2031,90.423
Barisal,Kalapara,31,19,0.662,0.821,150,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kala Para,Patuakhali,21.8914,90.1948
Barisal,Mirzaganj,20,16,0.736,0.878,242,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mirzaganj,Patuakhali,22.3569,90.2167
Barisal,Patuakhali,21,15,0.812,0.912,208,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patuakhali Sadar,Patuakhali,22.3358,90.329
Barisal,Rangabali,18,13,0.836,0.925,223,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,Bhandaria,21,9,0.49,0.598,150,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhandaria,Pirojpur,22.4542,90.0215
Barisal,Kawkhali,15,7,0.704,0.764,163,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kawkhali,Pirojpur,22.6067,90.0585
Barisal,Mathbaria,21,17,0.707,0.768,161,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mathbaria,Pirojpur,22.2853,89.9507
Barisal,Nazirpur,34,21,0.702,0.717,150,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Nazirpur,Pirojpur,22.7703,89.9743
Barisal,Nesarabad,21,13,0.852,0.915,166,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,Pirojpur,14,8,0.838,0.912,190,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Pirojpur Sadar,Pirojpur,22.6086,89.9811
Barisal,Zianagar,17,11,0.648,0.81,154,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Zianagar,Bagerhat,22.4657,89.9345
Bogra,Adamdighi,14,13,0.762,0.909,261,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Adamdighi,Bogra,24.7992,89.0595
Bogra,Bogra,16,18,0.675,0.879,282,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Bogra Sadar,Bogra,24.8955,89.3557
Bogra,Dhunat,22,17,0.535,0.794,215,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Dhunat,Bogra,24.6825,89.5503
Bogra,Dubchachia,9,13,0.827,0.866,277,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Dhupchanchia,Bogra,24.8837,89.1392
Bogra,Gabtali,20,16,0.614,0.831,218,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Gabtali,Bogra,24.8868,89.465
Bogra,Kahalu,9,11,0.677,0.878,274,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",,,,
