region,upazila,area_ha,annual_crop_ha,single_cropped_ha,double_cropped_ha,triple_cropped_ha,quadruple_cropped_ha,other_ha,net_cropped_ha,cropping_intensity_pct,source,adm3_name,district,lat,lon
Barisal,Agailjhara,15552.0,180.0,10100.0,450.0,145.0,0.0,155.0,11030.0,107.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Agailjhara,Barisal,22.968,90.1408
Barisal,Babuganj,15247.0,210.0,600.0,8620.0,2410.0,0.0,170.0,12010.0,214.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Babuganj,Barisal,22.8235,90.3146
Barisal,Bakerganj,40050.0,700.0,6150.0,11420.0,11100.0,0.0,130.0,29500.0,214.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bakerganj,Barisal,22.5524,90.3826
Barisal,Banaripara,13486.0,445.0,2950.0,2950.0,1110.0,0.0,145.0,7600.0,169.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Banari Para,Barisal,22.8118,90.1284
Barisal,Barisal sadar,26172.0,175.0,4020.0,14000.0,915.0,0.0,170.0,19280.0,183.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barisal Sadar (Kotwali),Barisal,22.7146,90.3822
Barisal,Gournadi,14938.0,1175.0,200.0,7000.0,2475.0,0.0,130.0,10980.0,210.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Gaurnadi,Barisal,22.9662,90.2447
Barisal,Hizla,33859.0,230.0,750.0,11300.0,1040.0,0.0,160.0,13480.0,200.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Hizla,Barisal,22.966,90.5334
Barisal,Mehendiganj,41896.0,500.0,0.0,18640.0,3700.0,0.0,160.0,23000.0,214.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mehendiganj,Barisal,22.8404,90.56
Barisal,Muladi,23050.0,800.0,1050.0,10025.0,2970.0,0.0,155.0,15000.0,208.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Muladi,Barisal,22.9526,90.3759
Barisal,Wazirpur,24932.0,680.0,7500.0,7950.0,310.0,0.0,140.0,16580.0,152.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Wazirpur,Barisal,22.8656,90.1659
Barisal,Bhola sadar,41316.0,230.0,1300.0,9870.0,14050.0,0.0,180.0,25630.0,249.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhola Sadar,Bhola,22.6837,90.6188
Barisal,Burhanuddin,28400.0,230.0,70.0,13120.0,6880.0,0.0,130.0,20430.0,232.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Burhanuddin,Bhola,22.4774,90.7331
Barisal,Charfasson,144004.0,4310.0,5500.0,41100.0,26180.0,0.0,210.0,77300.0,221.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Char Fasson,Bhola,22.1331,90.7071
Barisal,Daulatkhan,29310.0,110.0,1200.0,6990.0,5990.0,0.0,120.0,14410.0,233.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Daulatkhan,Bhola,22.5959,90.702
Barisal,Lalmohan,39600.0,130.0,0.0,16915.0,8300.0,0.0,135.0,25480.0,232.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Lalmohan,Bhola,22.3148,90.7543
Barisal,Monpura,35300.0,95.0,1040.0,9250.0,1715.0,0.0,130.0,12230.0,205.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Manpura,Bhola,22.2002,90.9548
Barisal,Tazumuddin,51931.0,100.0,20.0,7755.0,2880.0,0.0,145.0,10900.0,226.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Tazumuddin,Bhola,22.404,90.8164
Barisal,Amtali,47758.0,60.0,1500.0,12620.0,9130.0,0.0,150.0,23460.0,232.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Amtali,Barguna,22.0749,90.2028
Barisal,Bamna,9227.0,85.0,1300.0,2660.0,2870.0,0.0,115.0,7030.0,221.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bamna,Barguna,22.2725,90.0581
