region,rank_in_region,pattern,upazila,area_ha,pct_upazila_nca,pct_of_pattern_in_region,source,adm3_name,district,lat,lon
Barisal,1,Fallow-Fallow-T. Aman,Kalapara,21300.0,53.12,20.1,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kala Para,Patuakhali,21.8914,90.1948
Barisal,1,Fallow-Fallow-T. Aman,Mathbaria,9200.0,44.35,8.68,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mathbaria,Pirojpur,22.2853,89.9507
Barisal,1,Fallow-Fallow-T. Aman,Taltali,8200.0,57.5,7.74,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,1,Fallow-Fallow-T. Aman,Rangabali,6200.0,18.18,5.85,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,1,Fallow-Fallow-T. Aman,Barguna,6100.0,24.42,5.76,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barguna Sadar,Barguna,22.1346,90.109
Barisal,1,Fallow-Fallow-T. Aman,Bakerganj,6000.0,20.34,5.66,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bakerganj,Barisal,22.5524,90.3826
Barisal,1,Fallow-Fallow-T. Aman,Charfasson,5000.0,6.58,4.72,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Char Fasson,Bhola,22.1331,90.7071
Barisal,1,Fallow-Fallow-T. Aman,Bhandaria,5000.0,50.81,4.72,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bhandaria,Pirojpur,22.4542,90.0215
Barisal,1,Fallow-Fallow-T. Aman,Rajapur,4600.0,39.36,4.34,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Rajapur,Jhalokati,22.5507,90.131
Barisal,1,Fallow-Fallow-T. Aman,Zianagar,3400.0,52.0,3.21,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Zianagar,Bagerhat,22.4657,89.9345
Barisal,1,Fallow-Fallow-T. Aman,Barisal sadar,3300.0,17.09,3.11,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Barisal Sadar (Kotwali),Barisal,22.7146,90.3822
Barisal,1,Fallow-Fallow-T. Aman,Pirojpur,3000.0,24.54,2.83,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Pirojpur Sadar,Pirojpur,22.6086,89.9811
Barisal,1,Fallow-Fallow-T. Aman,Mirzaganj,2400.0,20.73,2.27,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Mirzaganj,Patuakhali,22.3569,90.2167
Barisal,1,Fallow-Fallow-T. Aman,Patuakhali sadar,2400.0,20.73,2.27,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patuakhali Sadar,Patuakhali,22.3358,90.329
Barisal,1,Fallow-Fallow-T. Aman,Kawkhali,2100.0,41.53,1.98,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kawkhali,Pirojpur,22.6067,90.0585
Barisal,1,Fallow-Fallow-T. Aman,Nesarabad,1800.0,17.03,1.7,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,1,Fallow-Fallow-T. Aman,Jhalakati,1700.0,11.28,1.6,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",,,,
Barisal,1,Fallow-Fallow-T. Aman,Amtali,1500.0,6.39,1.42,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Amtali,Barguna,22.0749,90.2028
Barisal,1,Fallow-Fallow-T. Aman,Patharghata,1500.0,8.54,1.42,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Patharghata,Barguna,22.0941,89.9658
Barisal,1,Fallow-Fallow-T. Aman,Kathalia,1400.0,13.02,1.32,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Kanthalia,Jhalokati,22.4203,90.1024
Barisal,1,Fallow-Fallow-T. Aman,Bamna,1300.0,18.48,1.23,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bamna,Barguna,22.2725,90.0581
Barisal,1,Fallow-Fallow-T. Aman,Daulatkhan,1200.0,8.95,1.13,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Daulatkhan,Bhola,22.5959,90.702
Barisal,1,Fallow-Fallow-T. Aman,Bauphal,1200.0,3.24,1.13,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Bauphal,Patuakhali,22.433,90.5384
Barisal,1,Fallow-Fallow-T. Aman,Monpura,1000.0,8.16,0.94,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Manpura,Bhola,22.2002,90.9548
Barisal,1,Fallow-Fallow-T. Aman,Galachpipa,1000.0,3.04,0.94,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Galachipa,Patuakhali,22.2031,90.423
Barisal,1,Fallow-Fallow-T. Aman,Muladi,700.0,4.66,0.66,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Muladi,Barisal,22.9526,90.3759
Barisal,1,Fallow-Fallow-T. Aman,Hizla,630.0,4.75,0.59,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Hizla,Barisal,22.966,90.5334
Barisal,1,Fallow-Fallow-T. Aman,Betagi,600.0,4.84,0.57,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Crops and Land Use Pattern in Barisal Region', doi:10.3329/brj.v21i2.38196",Betagi,Barguna,22.3472,90.1482
