site_id,name,district,lat,lon,shape_id
ADM3_Abhaynagar,Abhaynagar,,23.0177,89.4204,5055444B52925985874339
ADM3_Adabor,Adabor,,23.7702,90.3533,5055444B49102485932636
ADM3_Adamdighi,Adamdighi,,24.7992,89.0595,5055444B58770697674534
ADM3_Aditmari,Aditmari,,25.9421,89.3687,5055444B32465848615946
ADM3_Agailjhara,Agailjhara,,22.968,90.1408,5055444B95524802719487
ADM3_Ajmiriganj,Ajmiriganj,,24.5533,91.2843,5055444B99945132628682
ADM3_Akhaura,Akhaura,,23.8386,91.1951,5055444B62959054248390
ADM3_Akkelpur,Akkelpur,,24.934,89.0421,5055444B76477721024576
ADM3_Alamdanga,Alamdanga,,23.7293,88.9081,5055444B84155048182974
ADM3_Alfadanga,Alfadanga,,23.2968,89.6699,5055444B55670429127605
ADM3_Alikadam,Alikadam,,21.6001,92.3846,5055444B70145349624714
ADM3_Amtali,Amtali,,22.0749,90.2028,5055444B15057296288923
ADM3_Anowara,Anowara,,22.2026,91.8812,5055444B66497559634365
ADM3_Araihazar,Araihazar,,23.761,90.6689,5055444B13859636437629
ADM3_Ashuganj,Ashuganj,,24.0158,91.0184,5055444B32932838704208
ADM3_Assasuni,Assasuni,,22.5192,89.1874,5055444B75161647827572
ADM3_Atgharia,Atgharia,,24.1083,89.2819,5055444B13262596743861
ADM3_Atpara,Atpara,,24.7914,90.8762,5055444B38720066295886
ADM3_Atrai,Atrai,,24.6252,88.9879,5055444B3575688139772
ADM3_Atwari,Atwari,,26.2496,88.4264,5055444B48705627763179
ADM3_Austagram,Austagram,,24.323,91.1215,5055444B71886622986948
ADM3_Babuganj,Babuganj,,22.8235,90.3146,5055444B11753174954303
ADM3_Badalgachhi,Badalgachhi,,24.9659,88.9435,5055444B60678935174681
ADM3_Badarganj,Badarganj,,25.6659,89.0564,5055444B71688043167729
ADM3_Badda,Badda,,23.798,90.4489,5055444B32230680322744
ADM3_BagatiPara,Bagati Para,,24.3122,88.9467,5055444B5068099947740
ADM3_BagerhatSadar,Bagerhat Sadar,,22.6775,89.7632,5055444B68778321552411
ADM3_Bagha,Bagha,,24.2004,88.8283,5055444B95183901987528
ADM3_BaghaiChhari,Baghai Chhari,,23.3731,92.2294,5055444B27929495018112
ADM3_BagherPara,Bagher Para,,23.2424,89.3355,5055444B50671922094556
ADM3_Baghmara,Baghmara,,24.5911,88.8107,5055444B7328601552159
ADM3_Bahubal,Bahubal,,24.3606,91.5464,5055444B50852908884979
ADM3_Bajitpur,Bajitpur,,24.2245,90.9512,5055444B13058474946517
ADM3_Bakalia,Bakalia,,22.3473,91.8555,5055444B62979600608461
ADM3_Bakerganj,Bakerganj,,22.5524,90.3826,5055444B60675040208225
