station,wmo,name,lat,lon,elev_m,first,last,days,tmax_days,prcp_days
41950099999,41950,Barisal,22.75,90.367,+0004.0,1981-01-04,2025-08-24,6328,6327,6286
41951099999,41951,Bhola,22.683,90.65,+0005.0,2012-02-01,2025-08-24,3190,3190,3190
41883099999,41883,Bogra,24.85,89.367,+0020.0,1982-01-01,2024-05-30,10211,10208,10146
41941099999,41941,Chandpur,23.267,90.7,+0007.0,1981-01-02,2025-08-24,3842,3842,3836
41977099999,41977,Chittagong (Ambagan),22.35,91.817,+0034.0,2022-10-26,2025-08-24,878,878,878
41926099999,41926,Chuadanga,23.65,88.817,+0012.0,2011-06-29,2025-08-24,3653,3653,3653
41933099999,41933,Comilla,23.433,91.183,+0009.0,2011-06-29,2025-08-24,3643,3643,3643
41992099999,41992,Coxs Bazar,21.452,91.964,+0003.7,1982-01-17,2025-08-24,9488,9488,9274
41917099999,41917,Dacca/Tezgaon,23.767,90.383,+0007.0,1981-01-01,1981-12-29,251,251,245
41863099999,41863,Dinajpur,25.65,88.683,+0037.0,2011-06-30,2025-08-24,3628,3628,3627
41929099999,41929,Faridpur,23.6,89.85,+0009.0,2011-06-30,2025-08-24,3543,3543,3543
41943099999,41943,Feni,23.033,91.417,+0008.0,2000-02-04,2025-08-24,5346,5346,5339
41963099999,41963,Hatia,22.433,91.1,+0004.0,2011-12-31,2025-08-23,3404,3403,3402
41922099999,41922,Hazrat Shahjalal Intl,23.843,90.398,+0009.1,1996-04-08,2025-08-24,9618,9612,6618
41855099999,41855,Ishurdi,24.15,89.033,+0014.0,1981-01-01,1981-12-29,167,167,155
41907099999,41907,Ishurdi,24.153,89.049,+0013.7,1982-01-05,2025-08-24,10050,10047,10011
41984099999,41984,Khepupara,21.983,90.233,+0009.0,2011-07-02,2025-08-24,3578,3578,3573
41947099999,41947,Khulna,22.783,89.533,+0004.0,2011-06-29,2025-08-24,3680,3680,3680
41989099999,41989,Kutubdia,21.817,91.85,+0007.0,2012-01-30,2025-08-24,3437,3436,3435
41939099999,41939,Madaripur,23.167,90.183,+0013.0,2011-07-09,2025-08-24,3403,3403,3402
41953099999,41953,Maijdicourt,22.867,91.1,+0006.0,2011-06-30,2025-08-24,3307,3307,3302
41958099999,41958,Mongla,22.6,89.5,-0999.9,2011-06-30,2025-08-24,3420,3420,3418
41886099999,41886,Mymensingh,24.717,90.433,+0019.0,1996-12-01,2025-08-24,3944,3944,3925
41960099999,41960,Patuakhali,22.333,90.333,+0003.0,2011-06-29,2025-08-24,3706,3706,3703
41862199999,41862,Rajarhat Kurigram,25.8,89.55,+0031.0,2015-02-18,2025-08-24,2642,2642,2641
41966099999,41966,Rangamati,22.533,92.2,+0063.0,2011-08-19,2025-08-24,3021,3021,3019
41859099999,41859,Rangpur,25.733,89.233,+0034.0,1982-01-10,2025-08-24,9534,9533,9463
15535099999,15535,Rousse/Ruse,43.695,26.057,+0186.0,1981-01-01,2013-10-31,11552,11552,11436
41858099999,41858,Saidpur,25.75,88.917,+0039.0,1981-01-01,2025-08-24,3785,3785,3782
41964099999,41964,Sandwip,22.483,91.433,+0006.0,2011-09-08,2025-08-23,3470,3470,3470
41946099999,41946,Satkhira,22.717,89.083,+0006.0,2011-06-29,2025-08-24,3586,3586,3585
41978099999,41978,Shah Amanat Intl,22.25,91.813,+0003.7,1982-01-12,2025-08-24,13527,13521,12987
41895099999,41895,Shah Mokhdum,24.437,88.617,+0019.5,2011-06-29,2025-08-24,3734,3734,3734
41965099999,41965,Sitakundu,22.583,91.7,+0010.0,2013-10-15,2025-08-24,2772,2772,2769
41915099999,41915,Srimangal,24.3,91.733,+0023.0,1981-01-02,2025-08-24,3772,3772,3767
41900099999,41900,Sylhet,24.9,91.883,+0032.0,1981-01-03,1981-12-30,130,130,127
41909099999,41909,Tangail,24.25,89.933,-0999.9,2011-06-30,2025-08-24,3479,3479,3477
41923099999,41923,Tejgaon,23.779,90.383,+0007.3,1982-01-01,2025-08-24,10842,10840,10753
41998099999,41998,Teknaf,20.867,92.3,+0006.0,2011-11-25,2025-08-24,2209,2209,2203
41850099999,41850,Tetulia  Panchagor,26.35,88.6,+0055.0,2016-03-03,2025-08-24,2320,2320,2319
41852099999,41852,Thakurgaon,26.017,88.4,-0999.9,1981-01-25,1981-12-30,75,75,68
