site_id,name,district,lat,lon,shape_id
ADM2_Bagerhat,Bagerhat,Bagerhat,22.522,89.7599,16705992B77600989823530
ADM2_Bandarban,Bandarban,Bandarban,21.8071,92.3638,16705992B23463827258150
ADM2_Barguna,Barguna,Barguna,22.1412,90.1207,16705992B13795829103768
ADM2_Barisal,Barisal,Barisal,22.8017,90.3074,16705992B66943755852345
ADM2_Bhola,Bhola,Bhola,22.3727,90.709,16705992B37732832620169
ADM2_Bogra,Bogra,Bogra,24.8245,89.3788,16705992B87441692505107
ADM2_Brahamanbaria,Brahamanbaria,Brahamanbaria,23.953,91.0835,16705992B2831557138260
ADM2_Chandpur,Chandpur,Chandpur,23.2797,90.7779,16705992B70711841490613
ADM2_Chittagong,Chittagong,Chittagong,22.4367,91.8653,16705992B94200136889214
ADM2_Chuadanga,Chuadanga,Chuadanga,23.6083,88.848,16705992B19758630986204
ADM2_Comilla,Comilla,Comilla,23.4369,91.034,16705992B59490572634285
ADM2_CoxsBazar,Cox's Bazar,Cox's Bazar,21.4726,92.071,16705992B34517682786426
ADM2_Dhaka,Dhaka,Dhaka,23.7869,90.2508,16705992B90744549146712
ADM2_Dinajpur,Dinajpur,Dinajpur,25.6299,88.7869,16705992B66423446659680
ADM2_Faridpur,Faridpur,Faridpur,23.4789,89.8388,16705992B67131385183639
ADM2_Feni,Feni,Feni,23.0032,91.4127,16705992B83268326466345
ADM2_Gaibandha,Gaibandha,Gaibandha,25.2987,89.5059,16705992B74857221285320
ADM2_Gazipur,Gazipur,Gazipur,24.0984,90.4449,16705992B50862305652789
ADM2_Gopalganj,Gopalganj,Gopalganj,23.1055,89.8995,16705992B87804307332289
ADM2_Habiganj,Habiganj,Habiganj,24.3681,91.4303,16705992B7772300815487
ADM2_Jamalpur,Jamalpur,Jamalpur,24.9732,89.8463,16705992B65705561019803
ADM2_Jessore,Jessore,Jessore,23.0898,89.1747,16705992B28022870637862
ADM2_Jhalokati,Jhalokati,Jhalokati,22.5728,90.1839,16705992B14602656752780
ADM2_Jhenaidah,Jhenaidah,Jhenaidah,23.4891,89.0874,16705992B77509092527129
ADM2_Joypurhat,Joypurhat,Joypurhat,25.0927,89.0829,16705992B2288856744536
ADM2_Khagrachhari,Khagrachhari,Khagrachhari,23.1642,91.9521,16705992B35326431749719
ADM2_Khulna,Khulna,Khulna,22.5856,89.4571,16705992B21968895988188
ADM2_Kishoreganj,Kishoreganj,Kishoreganj,24.3762,90.9423,16705992B82604838368079
ADM2_Kurigram,Kurigram,Kurigram,25.7907,89.6953,16705992B97164497642406
ADM2_Kushtia,Kushtia,Kushtia,23.9229,89.022,16705992B21124734124900
ADM2_Lakshmipur,Lakshmipur,Lakshmipur,22.9005,90.8557,16705992B31973889793084
ADM2_Lalmonirhat,Lalmonirhat,Lalmonirhat,26.0574,89.2409,16705992B84214314165922
ADM2_Madaripur,Madaripur,Madaripur,23.2182,90.1651,16705992B87985099055959
ADM2_Magura,Magura,Magura,23.4432,89.4337,16705992B78415132034426
ADM2_Manikganj,Manikganj,Manikganj,23.844,89.9496,16705992B79131283702140
ADM2_Maulvibazar,Maulvibazar,Maulvibazar,24.4804,91.9154,16705992B62450131352427
ADM2_Meherpur,Meherpur,Meherpur,23.794,88.7071,16705992B11914188004823
ADM2_Munshiganj,Munshiganj,Munshiganj,23.5258,90.4173,16705992B99884694518333
ADM2_Mymensingh,Mymensingh,Mymensingh,24.6991,90.4286,16705992B54511139091050
ADM2_Naogaon,Naogaon,Naogaon,24.8996,88.7516,16705992B34203284467157
ADM2_Narail,Narail,Narail,23.1301,89.5801,16705992B56503274196630
ADM2_Narayanganj,Narayanganj,Narayanganj,23.7232,90.5781,16705992B28796010313895
ADM2_Narsingdi,Narsingdi,Narsingdi,24.0024,90.7732,16705992B95243043657125
ADM2_Natore,Natore,Natore,24.3803,89.0868,16705992B43065208682222
ADM2_Nawabganj,Nawabganj,Nawabganj,24.7156,88.2641,16705992B76725860359822
ADM2_Netrakona,Netrakona,Netrakona,24.8708,90.8446,16705992B47191620994273
ADM2_Nilphamari,Nilphamari,Nilphamari,26.0247,88.9295,16705992B74406959438199
ADM2_Noakhali,Noakhali,Noakhali,22.811,91.1241,16705992B96773862439533
ADM2_Pabna,Pabna,Pabna,24.0532,89.3853,16705992B46384724638491
ADM2_Panchagarh,Panchagarh,Panchagarh,26.2851,88.5755,16705992B66536058617583
ADM2_Patuakhali,Patuakhali,Patuakhali,22.3139,90.4084,16705992B49808088196813
ADM2_Pirojpur,Pirojpur,Pirojpur,22.5338,89.9932,16705992B46028667424095
ADM2_Rajbari,Rajbari,Rajbari,23.7276,89.5615,16705992B48875454234518
ADM2_Rajshahi,Rajshahi,Rajshahi,24.4658,88.6514,16705992B51815672792645
ADM2_Rangamati,Rangamati,Rangamati,22.83,92.2795,16705992B35610473312733
ADM2_Rangpur,Rangpur,Rangpur,25.6497,89.2368,16705992B34260815515495
ADM2_Satkhira,Satkhira,Satkhira,22.5129,89.1198,16705992B60176987344662
ADM2_Shariatpur,Shariatpur,Shariatpur,23.2477,90.4074,16705992B92388810566131
ADM2_Sherpur,Sherpur,Sherpur,25.0823,90.0745,16705992B90842308963557
ADM2_Sirajganj,Sirajganj,Sirajganj,24.3916,89.5996,16705992B55394931042500
ADM2_Sunamganj,Sunamganj,Sunamganj,24.9386,91.346,16705992B61059366245275
ADM2_Sylhet,Sylhet,Sylhet,24.9192,91.9873,16705992B47932115867008
ADM2_Tangail,Tangail,Tangail,24.3563,89.9986,16705992B55867939933107
ADM2_Thakurgaon,Thakurgaon,Thakurgaon,25.9906,88.3456,16705992B44482388014877
