crop,variety_example,season,sow_or_transplant_window,duration_days,kc_ini,kc_mid,kc_end,seasonal_water_need_mm,sensitive_stage,heat_threshold_c,flood_submergence_tolerance,salinity_tolerance_ds_m,n_fixing_legume,straw_or_fodder_t_ha,typical_yield_t_ha,farmgate_price_bdt_kg,cost_bdt_ha,source
Boro rice,,Rabi (irrigated),,,,,,,flowering,,,,no,,,,,
T.Aman rice,,Kharif-2 (rainfed),,,,,,,flowering,,,,no,,,,,
Aus rice,,Kharif-1,,,,,,,flowering,,,,no,,,,,
Wheat,,Rabi,,,,,,,grain filling,,,,no,,,,,
Maize,,Rabi,,,,,,,tasselling/silking,,,,no,,,,,
Mustard,,Rabi,,,,,,,flowering,,,,no,,,,,
Potato,,Rabi,,,,,,,tuber bulking,,,,no,,,,,
Lentil,,Rabi,,,,,,,flowering/pod fill,,,,yes,,,,,
Mungbean,,Kharif-1,,,,,,,flowering,,,,yes,,,,,
Grass pea (khesari),,Rabi relay in Aman,,,,,,,flowering,,,,yes,,,,,
Jute,,Kharif-1,,,,,,,,,,,no,,,,,
Dhaincha (green manure),,Kharif-1,,,,,,,,,,,yes,,,,,
Napier / fodder maize,,perennial / Rabi,,,,,,,,,,,no,,,,,
